SoilTestID,FarmID,TestDate,PH,Nitrogen,Phosphorus,Potassium,Moisture
37,37,2023/02/10 00:00:00,6;2,17;39,16;66,19;10,13;3
38,38,2024/09/19 00:00:00,6;8,25;08,12;50,16;10,20;0
39,39,2023/09/16 00:00:00,6;6,17;60,7;22,28;60,21;5
40,40,2024/05/15 00:00:00,6;1,12;86,12;71,10;13,15;2
41,41,2024/11/07 00:00:00,6;9,20;30,10;02,26;58,20;9
42,42,2023/03/11 00:00:00,5;9,10;45,6;95,25;94,23;6
43,43,2023/07/11 00:00:00,5;8,25;22,7;89,27;62,10;5
44,44,2023/08/19 00:00:00,5;5,14;47,7;33,11;49,13;2
45,45,2024/04/25 00:00:00,7;3,14;91,13;98,13;05,20;8
46,46,2024/11/15 00:00:00,5;8,25;36,16;18,24;84,18;1
47,47,2024/08/06 00:00:00,6;8,12;56,17;66,21;67,18;5
48,48,2024/03/14 00:00:00,7;3,22;82,17;09,20;02,22;9
49,49,2023/03/14 00:00:00,6;9,14;56,18;27,23;18,17;7
50,50,2023/09/08 00:00:00,7;3,22;81,16;22,15;33,16;9
51,51,2024/02/13 00:00:00,6;6,29;39,11;58,11;65,22;4
52,52,2024/04/26 00:00:00,5;6,11;98,8;46,11;54,11;0
53,53,2023/09/26 00:00:00,6;7,14;57,5;79,16;26,20;0
54,54,2024/09/08 00:00:00,6;4,21;06,15;12,28;59,13;2
55,55,2024/01/02 00:00:00,6;5,16;63,18;90,27;82,21;0
56,56,2023/09/26 00:00:00,7;3,28;64,14;50,18;32,11;9
57,57,2024/03/16 00:00:00,7;4,25;73,15;02,14;65,22;0
58,58,2024/10/16 00:00:00,6;1,13;13,14;34,15;42,11;1
59,59,2023/09/02 00:00:00,5;6,13;21,13;84,24;70,16;4
60,60,2024/03/14 00:00:00,6;6,12;27,11;26,24;65,15;4
61,61,2023/02/24 00:00:00,6;2,12;34,19;71,18;52,14;3
62,62,2024/04/18 00:00:00,6;5,16;85,13;89,21;54,17;0
63,63,2023/11/14 00:00:00,5;9,21;22,10;34,29;26,10;0
64,64,2023/02/04 00:00:00,6;6,13;14,15;44,23;70,16;3
65,65,2023/03/02 00:00:00,7;5,25;07,19;13,29;17,16;3
66,66,2023/10/07 00:00:00,7;3,28;82,8;20,11;63,13;1
67,67,2024/01/04 00:00:00,6;0,28;49,13;11,25;92,23;5
68,68,2023/11/23 00:00:00,7;5,26;66,18;01,12;57,11;6
69,69,2024/03/13 00:00:00,5;7,20;97,13;68,24;23,17;2
70,70,2024/01/24 00:00:00,7;0,12;04,6;11,11;21,14;1
71,71,2023/12/25 00:00:00,5;7,21;63,11;54,19;96,18;0
72,72,2023/02/22 00:00:00,7;3,12;06,19;62,21;77,16;7
73,73,2024/02/09 00:00:00,6;9,25;36,19;49,23;19,11;1
74,74,2023/08/10 00:00:00,7;2,23;25,5;33,25;94,11;8
75,75,2024/07/26 00:00:00,7;3,29;19,5;27,20;57,12;3
76,76,2024/11/19 00:00:00,6;3,25;52,17;39,17;53,24;0
77,77,2023/06/04 00:00:00,7;4,25;43,10;17,20;17,11;3
78,78,2023/11/21 00:00:00,7;4,11;86,14;66,27;48,16;1
79,79,2023/09/03 00:00:00,6;6,10;86,15;42,19;75,19;6
80,80,2024/02/27 00:00:00,7;2,15;61,8;84,15;92,17;6
81,81,2023/05/11 00:00:00,6;0,28;10,17;59,17;01,16;9
82,82,2023/11/17 00:00:00,5;7,14;83,13;74,11;15,11;2
83,83,2023/04/02 00:00:00,5;7,24;95,17;54,27;76,21;8
84,84,2024/06/10 00:00:00,6;7,17;13,14;74,26;10,10;4
85,85,2024/04/19 00:00:00,6;9,15;46,14;64,20;07,17;6
86,86,2023/08/14 00:00:00,5;9,11;62,10;46,17;98,10;5
87,87,2023/11/23 00:00:00,5;5,14;02,8;02,25;22,16;3
88,88,2024/08/08 00:00:00,6;4,19;94,15;97,12;13,16;1
89,89,2023/08/16 00:00:00,7;4,27;92,10;65,26;21,15;9
90,90,2024/07/21 00:00:00,5;8,17;01,15;36,24;13,18;7
91,91,2023/04/15 00:00:00,6;4,26;50,17;01,26;45,15;1
92,92,2024/04/05 00:00:00,6;9,17;11,6;12,10;25,19;0
93,93,2024/01/05 00:00:00,6;5,25;60,11;38,12;75,20;8
94,94,2023/06/07 00:00:00,6;8,18;73,14;44,11;44,22;5
95,95,2024/09/10 00:00:00,5;9,14;12,14;82,21;61,13;6
96,96,2024/03/13 00:00:00,6;8,14;41,6;83,10;73,20;5
97,97,2024/02/17 00:00:00,6;0,20;68,8;25,26;01,19;8
98,98,2023/10/10 00:00:00,6;3,21;38,7;51,28;03,23;2
99,99,2023/04/22 00:00:00,6;8,24;48,17;37,17;87,22;8
100,100,2023/11/20 00:00:00,6;6,29;18,12;58,19;94,24;6
101,101,2023/07/04 00:00:00,6;0,10;13,17;02,15;99,19;9
102,102,2024/09/01 00:00:00,6;3,15;94,7;82,23;42,19;0
103,103,2023/08/12 00:00:00,7;3,16;23,10;81,29;48,20;6
104,104,2024/10/21 00:00:00,6;7,19;89,8;99,23;86,20;0
105,105,2023/05/27 00:00:00,5;6,10;92,14;46,27;43,15;9
106,106,2023/02/21 00:00:00,5;5,26;17,19;93,21;15,14;7
107,107,2023/02/06 00:00:00,6;2,11;31,13;99,23;21,10;1
108,108,2024/05/14 00:00:00,6;0,10;61,15;22,13;34,19;6
109,109,2023/05/03 00:00:00,7;3,13;82,14;53,21;10,20;7
110,110,2024/01/24 00:00:00,5;8,22;91,19;24,28;02,21;6
111,111,2023/06/11 00:00:00,6;2,11;52,9;83,22;02,20;7
112,112,2024/12/13 00:00:00,6;8,12;62,14;50,17;19,15;1
113,113,2024/02/01 00:00:00,6;4,28;16,14;69,12;42,19;1
114,114,2024/06/18 00:00:00,5;5,24;50,12;47,17;25,19;2
115,115,2024/09/01 00:00:00,6;6,16;18,16;89,21;29,20;3
116,116,2024/05/06 00:00:00,5;9,13;20,18;81,21;65,11;3
117,117,2024/07/05 00:00:00,6;6,28;62,11;63,27;37,18;5
118,118,2023/10/22 00:00:00,6;7,23;36,13;79,29;72,13;4
119,119,2024/11/04 00:00:00,6;3,22;10,16;82,10;66,12;8
120,120,2024/05/20 00:00:00,6;6,19;18,18;79,18;99,19;7
121,121,2024/07/09 00:00:00,5;9,16;36,17;28,23;59,11;0
122,122,2024/06/07 00:00:00,6;6,29;70,19;48,10;32,12;4
123,123,2023/12/16 00:00:00,6;1,25;96,7;61,19;57,23;5
124,124,2023/12/01 00:00:00,6;7,24;64,10;05,12;11,16;3
125,125,2023/02/20 00:00:00,5;7,15;22,16;90,28;17,22;1
126,126,2023/01/15 00:00:00,5;8,21;10,12;31,14;09,18;6
127,127,2023/07/04 00:00:00,6;5,16;89,7;32,26;94,20;8
128,128,2023/06/19 00:00:00,6;2,26;25,6;24,16;74,17;8
129,129,2023/10/07 00:00:00,7;1,15;19,18;78,28;04,18;9
130,130,2023/10/03 00:00:00,7;0,22;39,10;06,16;95,10;2
131,131,2024/06/08 00:00:00,5;9,13;89,14;11,11;49,12;4
132,132,2023/12/01 00:00:00,7;2,12;00,13;72,29;91,11;6
133,133,2024/01/22 00:00:00,7;0,15;11,10;73,16;25,16;0
134,134,2024/07/13 00:00:00,6;7,10;92,6;55,12;00,21;3
135,135,2023/09/15 00:00:00,6;3,26;07,7;28,16;45,21;3
136,136,2024/01/14 00:00:00,6;0,28;24,5;95,19;92,17;1
137,137,2024/01/01 00:00:00,6;7,21;07,14;10,25;13,16;1
138,138,2023/11/15 00:00:00,6;8,13;21,12;46,12;26,13;2
139,139,2024/04/21 00:00:00,6;3,10;82,14;26,16;01,18;5
140,140,2024/01/01 00:00:00,5;9,27;52,5;58,19;75,18;7
141,141,2023/12/22 00:00:00,5;6,11;51,12;77,14;02,17;0
142,142,2024/02/07 00:00:00,7;3,22;24,15;11,21;81,13;6
143,143,2024/04/11 00:00:00,6;8,15;99,6;16,18;59,12;3
144,144,2024/06/24 00:00:00,6;5,22;09,13;61,20;57,11;2
145,145,2023/12/17 00:00:00,5;9,23;84,6;08,12;74,15;5
146,146,2023/04/14 00:00:00,7;3,17;21,10;65,29;06,10;6
147,147,2023/10/06 00:00:00,6;7,23;00,17;40,15;64,24;6
148,148,2024/08/10 00:00:00,6;7,23;00,15;20,27;27,15;3
149,149,2024/03/15 00:00:00,6;8,11;49,11;10,20;99,23;3
150,150,2023/01/17 00:00:00,5;5,21;67,12;88,25;89,14;9
151,151,2024/10/03 00:00:00,7;2,17;05,19;20,18;65,18;5
152,152,2024/08/18 00:00:00,5;6,24;72,12;86,24;35,15;6
153,153,2023/02/09 00:00:00,5;9,26;89,9;49,29;32,10;5
154,154,2023/05/12 00:00:00,6;8,14;34,9;17,17;77,10;3
155,155,2024/01/03 00:00:00,7;1,22;02,5;28,29;96,19;9
156,156,2024/12/27 00:00:00,6;4,25;38,12;62,13;05,19;5
157,157,2023/03/16 00:00:00,6;4,14;57,14;12,19;68,13;2
158,158,2024/01/18 00:00:00,5;5,20;43,17;05,16;97,16;0
159,159,2023/08/05 00:00:00,7;0,18;41,18;42,25;40,16;2
160,160,2023/08/13 00:00:00,7;3,16;44,12;78,15;33,20;5
161,161,2023/10/09 00:00:00,7;5,24;12,19;22,25;86,13;7
162,162,2024/11/26 00:00:00,6;6,17;68,19;68,12;80,24;1
163,163,2024/07/06 00:00:00,5;8,16;46,11;35,14;26,16;1
164,164,2023/02/08 00:00:00,6;7,13;26,14;09,27;76,15;1
165,165,2024/12/23 00:00:00,7;0,19;54,10;56,23;84,14;3
166,166,2024/12/06 00:00:00,6;6,28;63,8;19,10;58,12;5
167,167,2023/07/08 00:00:00,7;0,16;18,6;70,17;57,21;4
168,168,2024/12/14 00:00:00,6;6,23;07,8;00,11;71,23;8
169,169,2023/08/22 00:00:00,6;4,12;81,11;15,19;23,13;7
170,170,2024/12/09 00:00:00,6;3,14;37,15;29,19;54,13;9
171,171,2023/02/03 00:00:00,6;8,16;92,7;18,10;67,20;0
172,172,2024/01/05 00:00:00,6;6,27;26,7;18,22;73,19;3
173,173,2024/04/15 00:00:00,6;1,18;66,13;67,10;52,11;3
174,174,2023/01/24 00:00:00,6;3,25;68,19;88,20;78,23;4
175,175,2023/04/12 00:00:00,6;5,12;05,11;44,21;44,22;9
176,176,2024/02/25 00:00:00,5;6,15;18,18;54,17;69,21;1
177,177,2023/09/15 00:00:00,7;4,13;27,7;49,26;48,18;3
178,178,2023/01/17 00:00:00,6;2,15;80,14;66,27;59,18;4
179,179,2024/04/04 00:00:00,6;7,24;58,6;68,20;41,16;3
180,180,2024/08/20 00:00:00,6;1,23;62,19;49,26;53,12;1
181,181,2024/02/03 00:00:00,5;7,19;13,14;11,24;59,14;1
182,182,2023/11/12 00:00:00,5;7,26;38,8;59,21;39,24;1
183,183,2023/05/14 00:00:00,5;5,25;68,16;59,10;26,12;6
184,184,2023/02/06 00:00:00,6;5,18;84,12;60,27;44,12;1
185,185,2023/06/20 00:00:00,5;9,20;75,17;03,12;11,24;0
186,186,2024/11/05 00:00:00,7;2,23;80,11;45,22;05,17;1
187,187,2023/10/03 00:00:00,6;2,18;96,17;39,17;18,22;8
188,188,2023/12/25 00:00:00,6;2,17;81,8;42,26;66,23;8
189,189,2024/04/25 00:00:00,6;2,20;68,10;90,18;11,16;5
190,190,2023/07/13 00:00:00,7;4,21;77,7;21,19;61,21;3
191,191,2024/09/12 00:00:00,6;8,18;52,12;88,23;78,15;4
192,192,2023/11/03 00:00:00,6;7,28;19,16;45,20;88,14;5
193,193,2023/04/24 00:00:00,6;3,20;50,8;77,28;83,20;5
194,194,2023/08/04 00:00:00,7;2,17;08,11;27,15;34,24;3
195,195,2023/02/23 00:00:00,6;8,26;41,7;58,19;90,17;0
196,196,2024/07/07 00:00:00,6;9,16;34,17;05,20;50,17;0
197,197,2023/03/26 00:00:00,6;1,15;46,6;13,14;61,13;9
198,198,2024/09/08 00:00:00,7;1,18;17,17;36,10;11,20;4
199,199,2024/02/04 00:00:00,7;0,28;65,18;41,19;60,22;6
200,200,2024/05/22 00:00:00,7;5,10;17,8;85,17;66,18;6
201,201,2023/08/23 00:00:00,5;9,19;75,19;14,23;60,15;7
202,202,2024/07/23 00:00:00,5;7,27;71,15;73,11;16,21;6
203,203,2024/07/03 00:00:00,5;9,23;11,16;28,20;67,12;2
204,204,2024/02/16 00:00:00,7;2,15;32,8;77,15;04,18;1
205,205,2023/09/18 00:00:00,7;0,29;96,17;35,14;07,19;6
206,206,2023/10/24 00:00:00,6;2,10;86,10;51,29;06,10;8
207,207,2023/01/12 00:00:00,6;4,13;09,7;84,28;32,15;5
208,208,2023/09/14 00:00:00,6;3,17;73,17;22,12;26,19;8
209,209,2023/04/22 00:00:00,5;8,11;15,9;51,25;48,20;8
210,210,2023/06/21 00:00:00,7;3,27;70,7;56,12;04,14;9
211,211,2023/07/14 00:00:00,6;0,26;24,16;93,17;76,12;0
212,212,2024/04/18 00:00:00,6;1,16;63,17;13,15;07,19;4
213,213,2024/03/02 00:00:00,7;0,21;59,16;73,29;92,10;7
214,214,2023/09/03 00:00:00,6;9,18;77,5;43,19;69,24;2
215,215,2024/03/07 00:00:00,7;3,15;99,18;26,26;85,17;8
216,216,2024/08/11 00:00:00,7;0,23;23,11;85,17;71,18;1
217,217,2023/02/07 00:00:00,6;8,12;51,10;52,24;89,15;4
218,218,2024/06/27 00:00:00,5;7,23;73,15;44,23;94,21;5
219,219,2024/09/20 00:00:00,5;8,21;06,10;54,16;58,21;6
220,220,2023/07/22 00:00:00,7;4,18;18,8;40,17;76,22;1
221,221,2023/07/14 00:00:00,6;1,25;92,17;18,26;42,13;2
222,222,2023/11/11 00:00:00,7;2,28;38,16;29,26;72,13;4
223,223,2024/08/27 00:00:00,7;4,24;36,8;33,29;74,22;6
224,224,2024/06/09 00:00:00,6;7,21;09,17;27,28;97,14;2
225,225,2023/02/21 00:00:00,5;7,14;28,10;72,29;47,24;9
226,226,2024/07/20 00:00:00,6;8,29;85,12;44,27;04,19;3
227,227,2024/08/27 00:00:00,7;1,15;23,11;29,11;77,11;7
228,228,2024/08/15 00:00:00,6;2,20;18,8;27,23;13,19;1
229,229,2024/02/21 00:00:00,7;0,10;00,15;78,10;21,18;6
230,230,2024/12/03 00:00:00,5;9,19;66,9;98,26;94,14;5
231,231,2024/09/25 00:00:00,7;4,26;95,7;13,10;37,19;9
232,232,2023/08/15 00:00:00,6;6,27;20,14;59,19;66,19;8
233,233,2024/02/20 00:00:00,7;3,24;83,6;38,22;34,24;5
234,234,2024/05/05 00:00:00,6;1,16;44,18;46,22;64,13;7
235,235,2024/03/20 00:00:00,7;1,16;04,15;35,25;17,22;1
236,236,2023/02/19 00:00:00,6;2,13;68,11;59,24;29,24;8
237,237,2023/06/09 00:00:00,6;2,22;54,19;27,21;12,17;8
238,238,2023/12/11 00:00:00,6;4,29;31,15;94,16;75,12;6
239,239,2023/04/21 00:00:00,6;8,28;29,14;89,17;03,12;7
240,240,2023/11/23 00:00:00,6;8,18;03,8;82,25;68,12;1
241,241,2024/03/22 00:00:00,7;3,21;54,9;24,22;46,22;7
242,242,2024/03/21 00:00:00,6;2,16;03,9;60,26;84,15;2
243,243,2024/07/10 00:00:00,7;3,23;25,6;17,11;51,22;5
244,244,2023/02/27 00:00:00,7;0,12;69,18;64,12;33,22;2
245,245,2023/03/21 00:00:00,7;1,28;61,11;88,21;90,20;8
246,246,2024/12/27 00:00:00,6;9,28;09,19;98,27;57,11;0
247,247,2023/06/25 00:00:00,7;3,27;96,18;28,19;52,19;1
248,248,2023/12/22 00:00:00,6;4,16;18,18;42,24;18,21;4
249,249,2023/12/06 00:00:00,5;6,20;75,5;96,18;38,14;5
250,250,2024/08/07 00:00:00,7;0,12;18,10;51,28;52,11;4
251,251,2023/11/19 00:00:00,6;8,10;41,8;50,28;32,14;2
252,252,2024/02/18 00:00:00,7;4,23;46,7;38,18;27,21;5
253,253,2023/03/17 00:00:00,7;4,26;21,17;40,20;62,24;9
254,254,2023/08/26 00:00:00,6;0,22;97,16;19,19;90,21;2
255,255,2023/09/05 00:00:00,6;3,14;44,5;63,24;75,22;9
256,256,2023/11/08 00:00:00,6;2,17;95,11;86,22;52,21;5
257,257,2023/06/14 00:00:00,7;3,25;00,19;44,15;66,16;5
258,258,2023/09/17 00:00:00,6;4,15;46,14;78,22;62,10;4
259,259,2024/12/25 00:00:00,7;5,29;68,5;15,20;91,12;7
260,260,2023/10/26 00:00:00,7;3,20;98,7;39,21;91,18;9
261,261,2024/03/02 00:00:00,5;9,14;79,13;96,29;89,11;2
262,262,2023/09/01 00:00:00,6;6,18;47,9;61,21;67,15;6
263,263,2023/03/19 00:00:00,6;5,20;76,14;68,25;61,13;1
264,264,2024/04/12 00:00:00,7;5,10;50,10;70,27;72,13;2
265,265,2023/01/13 00:00:00,5;7,22;16,11;77,25;76,11;1
266,266,2024/11/16 00:00:00,6;0,29;62,5;05,25;15,12;5
267,267,2023/07/17 00:00:00,6;1,19;15,6;80,11;08,14;8
268,268,2023/11/07 00:00:00,7;3,13;45,5;08,11;09,10;4
269,269,2024/10/13 00:00:00,6;3,26;82,12;59,25;30,22;4
270,270,2023/08/15 00:00:00,6;9,11;48,13;05,14;58,23;8
271,271,2024/04/22 00:00:00,6;4,25;09,13;80,25;16,24;5
272,272,2024/02/18 00:00:00,7;0,13;88,18;10,28;01,23;8
273,273,2024/07/11 00:00:00,5;8,20;89,10;41,16;50,20;1
274,274,2024/10/23 00:00:00,7;2,21;44,10;33,14;90,23;2
275,275,2024/05/10 00:00:00,7;3,13;88,13;92,15;49,14;0
276,276,2023/06/12 00:00:00,6;9,26;89,19;86,22;64,18;8
277,277,2024/08/25 00:00:00,6;6,12;93,5;91,17;50,13;1
278,278,2024/02/18 00:00:00,7;4,24;98,18;92,17;85,19;3
279,279,2024/10/05 00:00:00,7;2,20;52,19;79,24;55,12;9
280,280,2023/02/04 00:00:00,5;6,28;73,14;46,26;53,22;1
281,281,2023/03/03 00:00:00,7;4,18;85,15;70,24;64,18;2
282,282,2024/02/27 00:00:00,5;6,28;69,9;81,20;37,11;9
283,283,2023/10/22 00:00:00,5;6,26;43,16;63,11;25,21;1
284,284,2024/09/08 00:00:00,5;5,28;97,9;87,15;39,14;5
285,285,2023/11/22 00:00:00,6;5,26;51,11;70,13;50,12;8
286,286,2023/08/25 00:00:00,6;3,10;10,15;11,15;12,24;2
287,287,2024/12/26 00:00:00,5;8,26;76,16;48,29;76,15;9
288,288,2023/05/02 00:00:00,6;9,18;99,15;62,21;91,19;6
289,289,2024/09/20 00:00:00,5;7,20;69,5;28,16;03,19;8
290,290,2024/08/01 00:00:00,5;9,27;62,15;16,24;72,13;4
291,291,2023/04/12 00:00:00,7;4,17;50,7;09,19;29,18;2
292,292,2024/05/09 00:00:00,6;4,17;99,11;82,24;78,15;1
293,293,2023/04/14 00:00:00,6;2,28;67,7;58,18;25,18;8
294,294,2024/04/14 00:00:00,6;0,25;09,16;87,20;25,17;6
295,295,2024/10/07 00:00:00,5;8,15;75,14;49,15;26,21;0
296,296,2023/03/06 00:00:00,5;8,24;12,17;57,15;10,12;7
297,297,2024/09/05 00:00:00,6;7,13;28,11;15,15;83,14;4
298,298,2024/11/08 00:00:00,5;7,22;82,8;47,25;88,11;1
299,299,2024/10/23 00:00:00,6;7,14;02,14;10,11;10,16;0
300,300,2024/10/04 00:00:00,7;0,29;03,9;06,27;59,22;7
301,301,2023/04/10 00:00:00,5;7,22;48,18;32,16;90,13;2
302,302,2024/12/07 00:00:00,6;4,17;05,7;74,11;81,24;8
303,303,2023/02/08 00:00:00,7;3,29;98,15;17,29;52,13;9
304,304,2024/10/18 00:00:00,6;3,15;98,13;24,16;85,19;5
305,305,2024/06/02 00:00:00,6;1,27;26,15;61,18;95,24;9
306,306,2023/08/02 00:00:00,6;0,17;56,14;04,10;89,22;2
307,307,2024/02/10 00:00:00,7;1,10;18,19;66,26;93,15;4
308,308,2023/02/13 00:00:00,7;2,15;15,19;44,28;33,24;7
309,309,2024/08/14 00:00:00,7;3,12;85,16;56,12;41,20;4
310,310,2024/04/12 00:00:00,6;3,22;65,16;02,27;61,10;2
311,311,2024/10/19 00:00:00,5;8,14;11,13;11,22;49,24;7
312,312,2024/09/27 00:00:00,7;0,14;67,13;92,24;69,17;4
313,313,2024/01/17 00:00:00,7;1,12;11,6;89,23;37,23;8
314,314,2023/08/03 00:00:00,7;0,20;69,12;06,24;58,19;2
315,315,2023/06/04 00:00:00,6;4,15;42,16;19,25;53,11;1
316,316,2024/07/09 00:00:00,6;4,25;92,10;50,19;13,11;6
317,317,2024/12/19 00:00:00,6;6,12;21,6;46,28;10,19;0
318,318,2023/10/05 00:00:00,6;6,18;81,18;27,18;88,11;8
319,319,2024/05/15 00:00:00,7;0,19;34,9;44,14;51,24;4
320,320,2023/07/22 00:00:00,6;7,25;90,8;08,12;49,19;6
321,321,2023/12/06 00:00:00,6;7,26;02,7;40,20;00,12;0
322,322,2024/07/08 00:00:00,6;5,21;65,8;38,22;72,11;3
323,323,2023/03/14 00:00:00,6;4,26;83,15;29,22;80,13;6
324,324,2024/09/08 00:00:00,6;6,15;69,9;77,26;10,24;2
325,325,2024/07/10 00:00:00,6;4,23;61,17;84,16;31,21;8
326,326,2024/05/06 00:00:00,7;4,10;17,15;88,17;56,10;9
327,327,2024/09/14 00:00:00,6;7,23;83,15;39,25;98,17;7
328,328,2023/12/24 00:00:00,5;7,27;56,19;06,26;93,13;6
329,329,2024/05/24 00:00:00,5;6,27;44,7;83,18;11,13;3
330,330,2024/09/16 00:00:00,6;4,19;50,15;51,14;60,24;9
331,331,2023/03/18 00:00:00,6;6,26;13,8;35,15;08,24;3
332,332,2024/11/03 00:00:00,6;9,29;79,8;35,28;24,23;9
333,333,2024/12/06 00:00:00,6;8,27;45,9;77,13;80,20;9
334,334,2023/04/19 00:00:00,7;4,12;51,10;27,10;73,19;8
335,335,2024/11/21 00:00:00,6;8,15;73,9;33,18;68,17;5
336,336,2023/11/10 00:00:00,5;6,11;88,15;36,14;59,20;1
337,337,2024/08/25 00:00:00,6;5,19;67,13;46,12;46,10;2
338,338,2023/12/07 00:00:00,6;5,20;81,9;29,26;57,15;6
339,339,2024/06/27 00:00:00,5;7,19;21,8;80,22;81,13;9
340,340,2024/09/16 00:00:00,7;4,29;62,7;40,22;58,19;5
341,341,2023/01/05 00:00:00,6;5,19;02,12;99,13;38,12;6
342,342,2024/10/17 00:00:00,6;2,11;06,18;81,29;17,22;0
343,343,2023/12/07 00:00:00,6;8,24;24,6;67,14;29,18;4
344,344,2024/08/27 00:00:00,7;0,29;72,7;26,10;63,23;0
345,345,2023/08/13 00:00:00,6;6,12;59,10;16,28;42,14;1
346,346,2023/10/11 00:00:00,6;9,22;51,9;22,14;11,19;2
347,347,2024/10/25 00:00:00,5;5,28;71,19;66,28;39,24;3
348,348,2024/08/14 00:00:00,7;1,21;31,11;06,13;72,19;0
349,349,2024/10/02 00:00:00,6;4,19;40,11;39,23;46,20;9
350,350,2023/12/11 00:00:00,7;3,24;81,12;56,28;66,20;8
351,351,2023/05/01 00:00:00,5;9,14;97,5;23,28;68,14;8
352,352,2024/06/20 00:00:00,6;6,27;17,6;67,24;14,23;0
353,353,2024/10/27 00:00:00,7;2,14;40,16;35,12;92,15;0
354,354,2023/03/27 00:00:00,7;5,21;97,5;22,14;24,14;3
355,355,2024/10/11 00:00:00,5;9,17;97,19;63,16;97,20;5
356,356,2024/09/21 00:00:00,7;4,23;73,7;12,27;37,24;0
357,357,2023/07/08 00:00:00,7;4,20;24,5;98,19;97,20;2
358,358,2023/09/03 00:00:00,5;6,10;87,19;25,24;45,20;1
359,359,2023/06/24 00:00:00,5;7,24;76,12;39,19;42,19;7
360,360,2023/04/02 00:00:00,6;5,29;86,7;61,22;94,24;4
361,361,2023/01/20 00:00:00,5;7,24;62,8;67,25;54,19;0
362,362,2023/09/01 00:00:00,7;0,27;35,9;12,23;20,23;1
363,363,2023/02/19 00:00:00,6;0,15;50,16;65,13;90,21;3
364,364,2023/08/15 00:00:00,5;9,10;45,5;28,23;72,10;5
365,365,2023/02/21 00:00:00,5;5,14;22,14;51,28;79,10;6
366,366,2024/04/23 00:00:00,5;6,19;68,16;16,25;57,12;3
367,367,2024/03/13 00:00:00,7;3,19;77,11;16,23;73,17;9
368,368,2024/12/02 00:00:00,5;7,24;04,13;30,21;54,13;7
369,369,2023/12/19 00:00:00,6;9,20;13,14;83,23;26,15;8
370,370,2023/08/16 00:00:00,5;5,29;06,7;27,15;35,14;4
371,371,2024/05/17 00:00:00,7;2,21;12,16;79,20;86,19;2
372,372,2023/03/05 00:00:00,5;9,21;68,17;69,16;79,11;8
373,373,2024/07/01 00:00:00,6;5,10;84,5;87,22;88,24;6
374,374,2024/01/21 00:00:00,7;2,26;95,15;17,21;53,20;4
375,375,2024/10/07 00:00:00,6;1,29;18,15;85,23;87,13;3
376,376,2023/02/08 00:00:00,6;0,19;90,11;60,26;00,14;6
