FeedingLogID,LivestockID,FeedType,QuantityKg,FedOn
1,1,Maize,6;18,2023/04/12 00:00:00
136,28,Grass,9;71,2021/02/15 00:00:00
137,28,Maize,6;21,2022/02/07 00:00:00
138,28,Grass,12;09,2022/06/02 00:00:00
139,28,Grass,7;13,2021/07/20 00:00:00
140,28,Maize,8;78,2021/07/11 00:00:00
141,29,Maize,8;62,2023/12/28 00:00:00
142,29,Silage,14;07,2022/12/20 00:00:00
143,29,Lucerne,8;62,2023/05/12 00:00:00
144,29,Lucerne,10;67,2023/08/18 00:00:00
145,29,Grass,12;77,2022/06/14 00:00:00
146,30,Maize,10;95,2023/03/03 00:00:00
147,30,Silage,11;44,2023/12/22 00:00:00
148,30,Grass,10;84,2024/08/19 00:00:00
149,30,Silage,13;90,2023/04/01 00:00:00
150,30,Grass,13;36,2023/02/21 00:00:00
151,31,Silage,11;06,2023/09/01 00:00:00
152,31,Maize,6;99,2022/09/06 00:00:00
153,31,Lucerne,12;33,2024/02/29 00:00:00
154,31,Grass,8;09,2022/09/16 00:00:00
155,31,Maize,12;94,2023/06/28 00:00:00
156,32,Lucerne,5;77,2021/12/21 00:00:00
157,32,Lucerne,9;95,2021/06/03 00:00:00
158,32,Grass,8;47,2021/08/16 00:00:00
159,32,Lucerne,9;97,2021/09/13 00:00:00
160,32,Lucerne,7;17,2020/05/14 00:00:00
161,33,Grass,10;68,2021/11/21 00:00:00
162,33,Silage,10;02,2022/08/26 00:00:00
163,33,Grass,8;55,2021/12/24 00:00:00
164,33,Lucerne,13;03,2022/06/24 00:00:00
165,33,Grass,6;96,2021/07/22 00:00:00
166,34,Silage,10;82,2024/11/19 00:00:00
167,34,Silage,7;91,2024/12/04 00:00:00
168,34,Grass,9;34,2024/02/06 00:00:00
169,34,Silage,5;79,2023/12/16 00:00:00
170,34,Lucerne,14;01,2024/09/24 00:00:00
171,35,Silage,14;23,2024/05/17 00:00:00
172,35,Lucerne,14;78,2024/10/07 00:00:00
173,35,Maize,6;14,2023/12/25 00:00:00
174,35,Maize,14;21,2024/09/25 00:00:00
175,35,Silage,13;81,2024/09/06 00:00:00
176,36,Lucerne,5;49,2021/06/12 00:00:00
177,36,Silage,7;85,2022/10/14 00:00:00
178,36,Lucerne,10;50,2022/10/21 00:00:00
179,36,Grass,14;29,2021/06/02 00:00:00
180,36,Grass,14;60,2021/12/03 00:00:00
181,37,Maize,6;19,2023/02/04 00:00:00
182,37,Lucerne,11;16,2023/11/04 00:00:00
183,37,Silage,7;55,2022/09/06 00:00:00
184,37,Maize,13;84,2023/02/13 00:00:00
185,37,Silage,13;06,2022/12/13 00:00:00
186,38,Grass,13;75,2023/11/20 00:00:00
187,38,Maize,12;26,2022/12/21 00:00:00
188,38,Grass,10;23,2023/12/31 00:00:00
189,38,Lucerne,8;27,2023/07/28 00:00:00
190,38,Maize,12;18,2023/01/02 00:00:00
191,39,Maize,8;97,2021/01/24 00:00:00
192,39,Lucerne,13;92,2022/03/14 00:00:00
193,39,Silage,9;79,2021/04/05 00:00:00
194,39,Lucerne,9;12,2022/03/09 00:00:00
195,39,Lucerne,13;04,2021/07/01 00:00:00
196,40,Silage,9;89,2025/01/01 00:00:00
197,40,Maize,6;12,2023/10/17 00:00:00
198,40,Maize,10;37,2024/02/09 00:00:00
199,40,Silage,10;92,2024/09/28 00:00:00
200,40,Lucerne,5;89,2024/03/15 00:00:00
201,41,Maize,12;55,2022/09/25 00:00:00
202,41,Grass,14;89,2022/08/24 00:00:00
203,41,Silage,11;30,2023/05/24 00:00:00
204,41,Maize,13;24,2022/06/27 00:00:00
205,41,Silage,13;37,2022/05/05 00:00:00
206,42,Grass,6;77,2022/11/16 00:00:00
207,42,Grass,8;39,2023/01/31 00:00:00
208,42,Maize,5;36,2022/09/05 00:00:00
209,42,Lucerne,5;24,2023/02/14 00:00:00
210,42,Lucerne,9;76,2022/02/21 00:00:00
211,43,Grass,9;30,2021/10/06 00:00:00
212,43,Lucerne,8;05,2022/03/26 00:00:00
213,43,Silage,12;62,2022/07/05 00:00:00
214,43,Lucerne,6;34,2022/08/02 00:00:00
215,43,Lucerne,14;85,2021/08/02 00:00:00
216,44,Maize,7;95,2021/07/05 00:00:00
217,44,Lucerne,6;55,2021/01/03 00:00:00
218,44,Lucerne,11;23,2021/08/05 00:00:00
219,44,Silage,13;79,2021/07/17 00:00:00
220,44,Lucerne,6;75,2021/12/21 00:00:00
221,45,Maize,8;92,2020/09/27 00:00:00
222,45,Maize,8;64,2021/02/28 00:00:00
223,45,Grass,8;10,2021/05/27 00:00:00
224,45,Maize,14;81,2021/03/13 00:00:00
225,45,Lucerne,8;01,2020/10/30 00:00:00
226,46,Lucerne,12;98,2021/11/16 00:00:00
227,46,Silage,8;37,2023/01/24 00:00:00
228,46,Grass,5;01,2022/05/08 00:00:00
229,46,Lucerne,8;28,2023/03/15 00:00:00
230,46,Maize,10;27,2022/07/14 00:00:00
231,47,Lucerne,8;26,2023/08/11 00:00:00
232,47,Lucerne,7;88,2023/11/17 00:00:00
233,47,Maize,7;17,2023/09/01 00:00:00
234,47,Lucerne,11;52,2024/04/21 00:00:00
235,47,Grass,7;63,2022/11/19 00:00:00
236,48,Lucerne,14;73,2021/03/02 00:00:00
237,48,Maize,9;71,2020/09/29 00:00:00
238,48,Maize,11;11,2022/01/26 00:00:00
239,48,Grass,9;67,2021/04/15 00:00:00
240,48,Lucerne,12;28,2020/08/30 00:00:00
241,49,Maize,8;67,2021/10/16 00:00:00
242,49,Grass,12;19,2021/07/25 00:00:00
243,49,Lucerne,5;54,2020/06/10 00:00:00
244,49,Silage,7;74,2021/06/08 00:00:00
245,49,Silage,9;25,2021/08/14 00:00:00
246,50,Maize,14;92,2022/01/23 00:00:00
247,50,Grass,13;86,2021/05/24 00:00:00
248,50,Silage,5;95,2020/11/13 00:00:00
249,50,Silage,7;69,2022/01/09 00:00:00
250,50,Maize,11;15,2022/03/18 00:00:00
251,51,Silage,13;71,2024/03/03 00:00:00
252,51,Maize,8;06,2023/10/25 00:00:00
253,51,Grass,5;62,2024/04/08 00:00:00
254,51,Maize,6;72,2024/12/04 00:00:00
255,51,Silage,5;83,2023/08/30 00:00:00
256,52,Maize,7;40,2021/04/07 00:00:00
257,52,Grass,9;91,2021/10/08 00:00:00
258,52,Maize,11;87,2022/06/01 00:00:00
259,52,Maize,6;03,2021/05/31 00:00:00
260,52,Maize,12;63,2021/09/23 00:00:00
261,53,Lucerne,5;77,2024/10/29 00:00:00
262,53,Grass,6;12,2024/10/06 00:00:00
263,53,Grass,13;43,2024/04/07 00:00:00
264,53,Silage,10;43,2025/09/08 00:00:00
265,53,Grass,11;26,2025/04/23 00:00:00
266,54,Silage,6;75,2024/01/27 00:00:00
267,54,Lucerne,13;43,2024/02/07 00:00:00
268,54,Maize,10;98,2024/04/07 00:00:00
269,54,Silage,11;96,2024/05/16 00:00:00
270,54,Maize,14;06,2024/05/28 00:00:00
271,55,Grass,9;73,2024/05/26 00:00:00
272,55,Grass,10;81,2024/01/16 00:00:00
273,55,Silage,6;18,2025/07/30 00:00:00
274,55,Lucerne,9;08,2024/07/28 00:00:00
275,55,Grass,12;52,2025/07/15 00:00:00
276,56,Maize,9;62,2020/05/14 00:00:00
277,56,Grass,7;44,2021/11/20 00:00:00
278,56,Silage,13;70,2021/11/14 00:00:00
279,56,Silage,9;10,2021/02/06 00:00:00
280,56,Silage,13;45,2020/12/27 00:00:00
281,57,Grass,9;47,2025/01/02 00:00:00
282,57,Lucerne,8;87,2023/06/27 00:00:00
283,57,Maize,5;98,2023/06/11 00:00:00
284,57,Maize,14;57,2023/06/19 00:00:00
285,57,Grass,5;64,2024/02/16 00:00:00
286,58,Maize,9;62,2024/03/14 00:00:00
287,58,Grass,13;02,2023/02/16 00:00:00
288,58,Grass,10;18,2023/11/17 00:00:00
289,58,Silage,12;54,2023/10/10 00:00:00
290,58,Silage,11;73,2023/01/07 00:00:00
291,59,Maize,6;64,2022/09/09 00:00:00
292,59,Maize,10;75,2023/11/23 00:00:00
293,59,Silage,6;49,2022/11/07 00:00:00
294,59,Lucerne,14;13,2022/11/06 00:00:00
295,59,Grass,10;08,2022/09/18 00:00:00
296,60,Lucerne,7;18,2022/12/13 00:00:00
297,60,Silage,12;91,2023/03/14 00:00:00
298,60,Maize,6;41,2021/08/12 00:00:00
299,60,Grass,5;96,2023/03/02 00:00:00
300,60,Silage,11;44,2022/08/25 00:00:00
301,61,Silage,7;51,2022/09/02 00:00:00
302,61,Lucerne,5;05,2023/04/25 00:00:00
303,61,Lucerne,9;88,2022/10/13 00:00:00
304,61,Silage,6;71,2022/06/22 00:00:00
305,61,Silage,7;96,2023/06/25 00:00:00
306,62,Lucerne,6;06,2020/08/27 00:00:00
307,62,Silage,9;01,2021/07/29 00:00:00
308,62,Lucerne,13;96,2022/03/08 00:00:00
309,62,Grass,14;81,2020/09/04 00:00:00
310,62,Grass,8;72,2021/06/23 00:00:00
311,63,Grass,6;85,2021/09/02 00:00:00
312,63,Maize,9;11,2021/12/11 00:00:00
313,63,Lucerne,6;44,2021/09/01 00:00:00
314,63,Silage,5;89,2022/01/24 00:00:00
315,63,Silage,5;09,2021/11/14 00:00:00
316,64,Maize,6;53,2025/01/25 00:00:00
317,64,Grass,8;13,2025/04/28 00:00:00
318,64,Lucerne,14;00,2024/01/06 00:00:00
319,64,Grass,11;71,2024/03/18 00:00:00
320,64,Maize,11;50,2023/08/19 00:00:00
321,65,Lucerne,10;53,2021/06/20 00:00:00
322,65,Grass,9;43,2022/12/29 00:00:00
323,65,Lucerne,12;50,2022/10/25 00:00:00
324,65,Grass,14;31,2022/12/13 00:00:00
325,65,Maize,13;81,2021/10/24 00:00:00
326,66,Lucerne,9;80,2025/10/14 00:00:00
327,66,Silage,10;89,2025/09/05 00:00:00
328,66,Grass,5;76,2024/05/01 00:00:00
329,66,Silage,6;12,2024/09/22 00:00:00
330,66,Silage,11;34,2025/07/11 00:00:00
331,67,Silage,8;95,2023/07/29 00:00:00
332,67,Silage,12;24,2023/08/24 00:00:00
333,67,Maize,8;06,2023/09/12 00:00:00
334,67,Maize,13;28,2023/06/01 00:00:00
335,67,Lucerne,14;28,2023/05/17 00:00:00
336,68,Grass,9;13,2021/03/22 00:00:00
337,68,Lucerne,7;92,2021/07/10 00:00:00
338,68,Silage,7;81,2021/04/17 00:00:00
339,68,Grass,10;92,2022/01/09 00:00:00
340,68,Grass,10;22,2021/10/07 00:00:00
341,69,Maize,10;43,2021/01/24 00:00:00
342,69,Grass,14;20,2021/10/20 00:00:00
343,69,Silage,5;27,2021/02/19 00:00:00
344,69,Lucerne,6;92,2021/03/02 00:00:00
345,69,Silage,11;29,2022/03/12 00:00:00
346,70,Silage,7;19,2023/12/17 00:00:00
347,70,Maize,9;61,2024/12/04 00:00:00
348,70,Silage,8;34,2024/04/19 00:00:00
349,70,Maize,13;39,2023/11/26 00:00:00
350,70,Silage,7;83,2023/12/06 00:00:00
351,71,Grass,10;57,2024/10/03 00:00:00
352,71,Grass,14;32,2023/11/19 00:00:00
353,71,Silage,13;13,2023/05/26 00:00:00
354,71,Lucerne,10;59,2024/01/22 00:00:00
355,71,Lucerne,6;52,2023/07/24 00:00:00
356,72,Grass,6;46,2022/11/15 00:00:00
357,72,Silage,12;71,2022/05/21 00:00:00
358,72,Silage,8;79,2021/11/02 00:00:00
359,72,Maize,9;37,2022/02/05 00:00:00
360,72,Lucerne,10;98,2021/11/14 00:00:00
361,73,Silage,5;35,2021/11/25 00:00:00
362,73,Grass,12;20,2021/09/16 00:00:00
363,73,Silage,5;87,2021/10/25 00:00:00
364,73,Silage,6;38,2021/04/22 00:00:00
365,73,Grass,13;33,2022/03/05 00:00:00
366,74,Silage,9;03,2023/06/09 00:00:00
367,74,Grass,10;31,2024/05/01 00:00:00
368,74,Silage,6;33,2024/01/06 00:00:00
369,74,Lucerne,12;27,2023/06/06 00:00:00
370,74,Maize,11;03,2023/12/26 00:00:00
371,75,Grass,10;12,2024/08/05 00:00:00
372,75,Lucerne,9;23,2025/02/19 00:00:00
373,75,Maize,13;36,2024/12/22 00:00:00
374,75,Silage,11;27,2024/04/27 00:00:00
375,75,Lucerne,13;24,2025/04/30 00:00:00
376,76,Lucerne,6;91,2023/09/20 00:00:00
377,76,Grass,8;18,2022/10/27 00:00:00
378,76,Grass,10;35,2022/11/17 00:00:00
379,76,Silage,14;60,2024/05/05 00:00:00
380,76,Grass,7;69,2024/07/02 00:00:00
381,77,Silage,11;69,2022/06/14 00:00:00
382,77,Grass,9;01,2022/09/13 00:00:00
383,77,Grass,7;12,2022/04/28 00:00:00
384,77,Silage,11;72,2022/08/06 00:00:00
385,77,Maize,12;74,2023/03/10 00:00:00
386,78,Maize,10;07,2023/06/30 00:00:00
387,78,Lucerne,12;90,2023/11/23 00:00:00
388,78,Maize,10;61,2023/06/15 00:00:00
389,78,Silage,5;48,2024/08/31 00:00:00
390,78,Grass,10;41,2023/10/07 00:00:00
391,79,Maize,9;09,2023/04/18 00:00:00
392,79,Silage,5;08,2023/12/24 00:00:00
393,79,Maize,12;53,2023/01/15 00:00:00
394,79,Grass,12;77,2024/01/06 00:00:00
395,79,Grass,12;83,2023/06/07 00:00:00
396,80,Silage,7;78,2024/11/16 00:00:00
397,80,Grass,12;52,2024/05/03 00:00:00
398,80,Maize,8;55,2024/05/20 00:00:00
399,80,Silage,13;27,2023/09/25 00:00:00
400,80,Grass,12;41,2024/03/01 00:00:00
401,81,Maize,5;42,2022/04/18 00:00:00
402,81,Lucerne,12;55,2021/07/31 00:00:00
403,81,Lucerne,8;10,2022/06/18 00:00:00
404,81,Lucerne,5;61,2022/06/10 00:00:00
405,81,Lucerne,13;69,2021/02/21 00:00:00
406,82,Maize,9;94,2024/12/14 00:00:00
407,82,Maize,14;94,2024/12/08 00:00:00
408,82,Grass,14;85,2024/12/21 00:00:00
409,82,Grass,5;29,2023/09/07 00:00:00
410,82,Grass,14;83,2023/11/27 00:00:00
411,83,Lucerne,8;75,2023/06/24 00:00:00
412,83,Grass,8;61,2024/09/29 00:00:00
413,83,Silage,6;91,2023/07/04 00:00:00
414,83,Silage,9;67,2025/02/25 00:00:00
415,83,Lucerne,7;19,2024/08/31 00:00:00
416,84,Maize,12;07,2024/02/18 00:00:00
417,84,Silage,14;00,2023/11/13 00:00:00
418,84,Silage,10;61,2024/08/04 00:00:00
419,84,Maize,9;30,2023/05/20 00:00:00
420,84,Lucerne,14;35,2024/07/21 00:00:00
421,85,Grass,14;11,2024/02/19 00:00:00
422,85,Maize,5;93,2024/10/06 00:00:00
423,85,Maize,13;17,2024/06/14 00:00:00
424,85,Silage,7;48,2024/02/03 00:00:00
425,85,Lucerne,7;55,2024/06/25 00:00:00
426,86,Lucerne,7;23,2024/11/25 00:00:00
427,86,Grass,8;11,2024/02/15 00:00:00
428,86,Maize,11;23,2023/09/14 00:00:00
429,86,Lucerne,10;23,2024/12/26 00:00:00
430,86,Silage,9;85,2025/03/10 00:00:00
431,87,Maize,9;27,2022/06/18 00:00:00
432,87,Silage,6;74,2022/12/27 00:00:00
433,87,Maize,9;09,2022/03/27 00:00:00
434,87,Grass,14;58,2023/07/29 00:00:00
435,87,Lucerne,6;87,2023/02/27 00:00:00
436,88,Grass,10;78,2022/09/05 00:00:00
437,88,Grass,12;83,2022/07/04 00:00:00
438,88,Silage,12;82,2023/03/28 00:00:00
439,88,Silage,11;41,2022/08/25 00:00:00
440,88,Grass,12;38,2023/02/22 00:00:00
441,89,Lucerne,9;77,2021/05/18 00:00:00
442,89,Maize,11;01,2022/03/27 00:00:00
443,89,Grass,9;48,2020/12/09 00:00:00
444,89,Lucerne,6;60,2022/03/24 00:00:00
445,89,Maize,5;95,2021/06/01 00:00:00
446,90,Silage,10;91,2022/05/25 00:00:00
447,90,Silage,13;16,2023/04/15 00:00:00
448,90,Maize,5;43,2022/11/11 00:00:00
449,90,Maize,8;86,2022/10/05 00:00:00
450,90,Maize,13;99,2022/07/26 00:00:00
451,91,Silage,8;97,2025/03/21 00:00:00
452,91,Maize,6;33,2024/11/19 00:00:00
453,91,Maize,8;99,2025/01/25 00:00:00
454,91,Lucerne,14;84,2024/04/09 00:00:00
455,91,Grass,7;51,2025/02/18 00:00:00
456,92,Silage,11;50,2024/05/20 00:00:00
457,92,Silage,14;71,2023/04/07 00:00:00
458,92,Lucerne,13;15,2024/10/16 00:00:00
459,92,Maize,8;62,2023/12/09 00:00:00
460,92,Maize,13;55,2023/07/22 00:00:00
461,93,Grass,9;16,2023/09/10 00:00:00
462,93,Maize,12;03,2024/01/25 00:00:00
463,93,Grass,5;87,2024/05/31 00:00:00
464,93,Lucerne,13;73,2023/01/25 00:00:00
465,93,Lucerne,10;98,2024/03/09 00:00:00
466,94,Lucerne,7;84,2022/08/10 00:00:00
467,94,Grass,8;30,2022/07/05 00:00:00
468,94,Lucerne,8;60,2022/11/05 00:00:00
469,94,Silage,9;16,2022/03/28 00:00:00
470,94,Maize,14;28,2022/07/27 00:00:00
471,95,Grass,14;30,2024/05/02 00:00:00
472,95,Silage,11;57,2024/05/17 00:00:00
473,95,Maize,11;78,2024/05/04 00:00:00
474,95,Lucerne,7;50,2024/05/14 00:00:00
475,95,Maize,9;00,2023/07/21 00:00:00
476,96,Lucerne,5;01,2022/02/14 00:00:00
477,96,Grass,13;12,2021/11/17 00:00:00
478,96,Maize,10;50,2022/08/30 00:00:00
479,96,Silage,7;18,2021/11/03 00:00:00
480,96,Maize,5;63,2022/03/31 00:00:00
481,97,Grass,8;94,2022/01/12 00:00:00
482,97,Grass,13;24,2023/05/29 00:00:00
483,97,Maize,9;80,2023/05/28 00:00:00
484,97,Silage,7;33,2022/10/25 00:00:00
485,97,Grass,7;19,2021/11/23 00:00:00
486,98,Grass,7;31,2024/01/21 00:00:00
487,98,Lucerne,11;27,2023/02/07 00:00:00
488,98,Silage,11;60,2022/07/30 00:00:00
489,98,Maize,9;06,2023/01/16 00:00:00
490,98,Grass,13;92,2023/02/22 00:00:00
491,99,Maize,14;61,2023/12/15 00:00:00
492,99,Silage,11;79,2024/05/18 00:00:00
493,99,Silage,10;36,2023/11/20 00:00:00
494,99,Grass,7;09,2023/10/16 00:00:00
495,99,Silage,13;25,2023/11/22 00:00:00
496,100,Silage,8;97,2024/06/07 00:00:00
497,100,Silage,8;05,2025/08/02 00:00:00
498,100,Grass,12;89,2024/08/14 00:00:00
499,100,Lucerne,13;15,2025/02/20 00:00:00
500,100,Grass,9;98,2024/08/02 00:00:00
501,101,Maize,11;30,2023/11/18 00:00:00
502,101,Maize,12;51,2023/05/01 00:00:00
503,101,Lucerne,14;83,2023/10/19 00:00:00
504,101,Grass,12;70,2024/01/26 00:00:00
505,101,Silage,11;77,2023/08/02 00:00:00
506,102,Lucerne,5;90,2023/10/27 00:00:00
507,102,Maize,7;21,2022/05/16 00:00:00
508,102,Grass,10;74,2023/05/22 00:00:00
509,102,Silage,9;16,2022/08/28 00:00:00
510,102,Grass,8;91,2023/11/14 00:00:00
511,103,Grass,8;60,2021/03/16 00:00:00
512,103,Grass,10;92,2022/02/25 00:00:00
513,103,Lucerne,12;73,2021/04/08 00:00:00
514,103,Silage,9;80,2021/11/11 00:00:00
515,103,Lucerne,7;21,2022/01/28 00:00:00
516,104,Silage,12;13,2020/09/11 00:00:00
517,104,Grass,14;77,2021/10/08 00:00:00
518,104,Lucerne,10;08,2020/12/25 00:00:00
519,104,Silage,10;13,2020/08/05 00:00:00
520,104,Lucerne,5;51,2021/01/31 00:00:00
521,105,Grass,13;14,2024/07/22 00:00:00
522,105,Maize,6;00,2024/03/27 00:00:00
523,105,Maize,7;26,2023/09/01 00:00:00
524,105,Lucerne,14;60,2024/01/27 00:00:00
525,105,Lucerne,7;29,2024/10/24 00:00:00
526,106,Maize,7;58,2022/04/15 00:00:00
527,106,Grass,6;59,2022/11/25 00:00:00
528,106,Grass,6;59,2022/05/24 00:00:00
529,106,Grass,7;25,2023/03/01 00:00:00
530,106,Lucerne,12;47,2021/10/23 00:00:00
531,107,Maize,14;34,2023/08/17 00:00:00
532,107,Maize,7;06,2023/07/13 00:00:00
533,107,Lucerne,6;16,2022/07/29 00:00:00
534,107,Grass,11;35,2023/03/20 00:00:00
535,107,Grass,6;81,2022/05/23 00:00:00
536,108,Silage,6;37,2023/10/31 00:00:00
537,108,Maize,13;15,2023/10/15 00:00:00
538,108,Maize,14;47,2024/11/27 00:00:00
539,108,Maize,5;42,2024/06/27 00:00:00
540,108,Grass,10;37,2024/11/15 00:00:00
541,109,Maize,13;97,2022/11/02 00:00:00
542,109,Grass,8;15,2022/01/16 00:00:00
543,109,Maize,5;22,2022/01/14 00:00:00
544,109,Grass,12;74,2022/04/01 00:00:00
545,109,Grass,14;28,2022/12/01 00:00:00
546,110,Grass,5;31,2024/09/27 00:00:00
