LivestockWeightID,LivestockID,RecordedOn,WeightKg
354,71,2023/08/20 00:00:00,220;09
355,71,2023/09/20 00:00:00,145;28
356,72,2021/09/26 00:00:00,120;12
357,72,2021/10/26 00:00:00,46;37
358,72,2021/11/26 00:00:00,191;73
359,72,2021/12/26 00:00:00,94;23
360,72,2022/01/26 00:00:00,299;85
361,73,2020/08/08 00:00:00,150;50
362,73,2020/09/08 00:00:00,162;41
363,73,2020/10/08 00:00:00,130;71
364,73,2020/11/08 00:00:00,312;48
365,73,2020/12/08 00:00:00,183;39
366,74,2023/02/15 00:00:00,260;97
367,74,2023/03/15 00:00:00,310;50
368,74,2023/04/15 00:00:00,173;18
369,74,2023/05/15 00:00:00,124;77
370,74,2023/06/15 00:00:00,171;48
371,75,2024/03/22 00:00:00,149;66
372,75,2024/04/22 00:00:00,135;92
373,75,2024/05/22 00:00:00,285;83
374,75,2024/06/22 00:00:00,187;76
375,75,2024/07/22 00:00:00,135;49
376,76,2022/10/08 00:00:00,58;96
377,76,2022/11/08 00:00:00,319;43
378,76,2022/12/08 00:00:00,50;11
379,76,2023/01/08 00:00:00,294;08
380,76,2023/02/08 00:00:00,47;25
381,77,2021/08/11 00:00:00,325;09
382,77,2021/09/11 00:00:00,264;27
383,77,2021/10/11 00:00:00,323;18
384,77,2021/11/11 00:00:00,327;62
385,77,2021/12/11 00:00:00,93;17
386,78,2022/12/16 00:00:00,97;17
387,78,2023/01/16 00:00:00,70;60
388,78,2023/02/16 00:00:00,69;45
389,78,2023/03/16 00:00:00,105;97
390,78,2023/04/16 00:00:00,148;76
391,79,2022/04/20 00:00:00,111;33
392,79,2022/05/20 00:00:00,197;28
393,79,2022/06/20 00:00:00,69;27
394,79,2022/07/20 00:00:00,303;35
395,79,2022/08/20 00:00:00,214;21
396,80,2023/07/20 00:00:00,155;81
397,80,2023/08/20 00:00:00,127;89
398,80,2023/09/20 00:00:00,48;15
399,80,2023/10/20 00:00:00,73;13
400,80,2023/11/20 00:00:00,228;48
401,81,2021/02/15 00:00:00,225;87
402,81,2021/03/15 00:00:00,91;90
403,81,2021/04/15 00:00:00,311;49
404,81,2021/05/15 00:00:00,175;44
405,81,2021/06/15 00:00:00,106;00
406,82,2023/08/06 00:00:00,98;06
407,82,2023/09/06 00:00:00,214;45
408,82,2023/10/06 00:00:00,105;38
409,82,2023/11/06 00:00:00,114;60
410,82,2023/12/06 00:00:00,116;32
411,83,2023/06/19 00:00:00,130;69
412,83,2023/07/19 00:00:00,326;26
413,83,2023/08/19 00:00:00,227;65
414,83,2023/09/19 00:00:00,76;98
415,83,2023/10/19 00:00:00,304;76
416,84,2023/04/14 00:00:00,216;23
417,84,2023/05/14 00:00:00,169;22
418,84,2023/06/14 00:00:00,133;09
419,84,2023/07/14 00:00:00,249;31
420,84,2023/08/14 00:00:00,116;22
421,85,2023/07/26 00:00:00,220;37
422,85,2023/08/26 00:00:00,271;05
423,85,2023/09/26 00:00:00,97;21
424,85,2023/10/26 00:00:00,306;01
425,85,2023/11/26 00:00:00,90;16
426,86,2023/07/25 00:00:00,282;38
427,86,2023/08/25 00:00:00,96;64
428,86,2023/09/25 00:00:00,312;48
429,86,2023/10/25 00:00:00,303;54
430,86,2023/11/25 00:00:00,309;67
431,87,2022/01/08 00:00:00,261;07
432,87,2022/02/08 00:00:00,301;28
433,87,2022/03/08 00:00:00,306;98
434,87,2022/04/08 00:00:00,95;60
435,87,2022/05/08 00:00:00,151;38
436,88,2022/02/24 00:00:00,263;19
437,88,2022/03/24 00:00:00,282;78
438,88,2022/04/24 00:00:00,177;75
439,88,2022/05/24 00:00:00,251;62
440,88,2022/06/24 00:00:00,325;10
441,89,2020/10/21 00:00:00,212;72
442,89,2020/11/21 00:00:00,295;22
443,89,2020/12/21 00:00:00,284;85
444,89,2021/01/21 00:00:00,319;65
445,89,2021/02/21 00:00:00,48;08
446,90,2021/08/21 00:00:00,115;06
447,90,2021/09/21 00:00:00,299;63
448,90,2021/10/21 00:00:00,322;30
449,90,2021/11/21 00:00:00,328;59
450,90,2021/12/21 00:00:00,327;98
451,91,2024/01/19 00:00:00,316;59
452,91,2024/02/19 00:00:00,324;80
453,91,2024/03/19 00:00:00,128;84
454,91,2024/04/19 00:00:00,286;91
455,91,2024/05/19 00:00:00,38;11
456,92,2023/03/07 00:00:00,284;82
457,92,2023/04/07 00:00:00,324;70
458,92,2023/05/07 00:00:00,35;48
459,92,2023/06/07 00:00:00,115;28
460,92,2023/07/07 00:00:00,153;62
461,93,2022/09/26 00:00:00,31;42
462,93,2022/10/26 00:00:00,231;97
463,93,2022/11/26 00:00:00,131;84
464,93,2022/12/26 00:00:00,134;93
465,93,2023/01/26 00:00:00,185;25
466,94,2021/03/21 00:00:00,159;40
467,94,2021/04/21 00:00:00,49;29
468,94,2021/05/21 00:00:00,162;05
469,94,2021/06/21 00:00:00,255;60
470,94,2021/07/21 00:00:00,71;57
471,95,2023/05/19 00:00:00,263;46
472,95,2023/06/19 00:00:00,321;48
473,95,2023/07/19 00:00:00,211;46
474,95,2023/08/19 00:00:00,254;21
475,95,2023/09/19 00:00:00,233;51
476,96,2021/10/01 00:00:00,255;15
477,96,2021/11/01 00:00:00,316;20
478,96,2021/12/01 00:00:00,107;56
479,96,2022/01/01 00:00:00,287;93
480,96,2022/02/01 00:00:00,305;09
481,97,2021/10/05 00:00:00,312;75
482,97,2021/11/05 00:00:00,104;35
483,97,2021/12/05 00:00:00,313;89
484,97,2022/01/05 00:00:00,305;56
485,97,2022/02/05 00:00:00,323;08
486,98,2022/05/17 00:00:00,266;27
487,98,2022/06/17 00:00:00,202;44
488,98,2022/07/17 00:00:00,50;07
489,98,2022/08/17 00:00:00,87;49
490,98,2022/09/17 00:00:00,196;56
491,99,2022/11/19 00:00:00,268;49
492,99,2022/12/19 00:00:00,277;29
493,99,2023/01/19 00:00:00,92;47
494,99,2023/02/19 00:00:00,128;00
495,99,2023/03/19 00:00:00,323;69
496,100,2023/11/11 00:00:00,310;74
497,100,2023/12/11 00:00:00,193;38
498,100,2024/01/11 00:00:00,179;92
499,100,2024/02/11 00:00:00,164;41
500,100,2024/03/11 00:00:00,218;67
501,101,2022/11/10 00:00:00,95;78
502,101,2022/12/10 00:00:00,167;58
503,101,2023/01/10 00:00:00,96;70
504,101,2023/02/10 00:00:00,287;02
505,101,2023/03/10 00:00:00,94;53
506,102,2022/05/10 00:00:00,325;11
507,102,2022/06/10 00:00:00,143;34
508,102,2022/07/10 00:00:00,204;63
509,102,2022/08/10 00:00:00,83;40
510,102,2022/09/10 00:00:00,112;96
511,103,2021/02/22 00:00:00,298;62
512,103,2021/03/22 00:00:00,247;14
513,103,2021/04/22 00:00:00,77;55
514,103,2021/05/22 00:00:00,140;19
515,103,2021/06/22 00:00:00,170;88
516,104,2020/07/02 00:00:00,257;07
517,104,2020/08/02 00:00:00,248;08
518,104,2020/09/02 00:00:00,156;28
519,104,2020/10/02 00:00:00,141;85
520,104,2020/11/02 00:00:00,248;97
521,105,2023/07/10 00:00:00,286;96
522,105,2023/08/10 00:00:00,329;22
523,105,2023/09/10 00:00:00,104;56
524,105,2023/10/10 00:00:00,89;04
525,105,2023/11/10 00:00:00,133;08
526,106,2021/09/04 00:00:00,316;16
527,106,2021/10/04 00:00:00,259;01
528,106,2021/11/04 00:00:00,113;46
529,106,2021/12/04 00:00:00,260;52
530,106,2022/01/04 00:00:00,252;76
531,107,2022/05/12 00:00:00,91;78
532,107,2022/06/12 00:00:00,166;28
533,107,2022/07/12 00:00:00,273;15
534,107,2022/08/12 00:00:00,99;26
535,107,2022/09/12 00:00:00,239;31
536,108,2023/05/05 00:00:00,175;16
537,108,2023/06/05 00:00:00,37;65
538,108,2023/07/05 00:00:00,56;87
539,108,2023/08/05 00:00:00,241;03
540,108,2023/09/05 00:00:00,327;97
541,109,2022/01/02 00:00:00,152;93
542,109,2022/02/02 00:00:00,327;81
543,109,2022/03/02 00:00:00,296;67
544,109,2022/04/02 00:00:00,304;53
545,109,2022/05/02 00:00:00,227;94
546,110,2023/01/12 00:00:00,51;35
547,110,2023/02/12 00:00:00,229;74
548,110,2023/03/12 00:00:00,282;28
549,110,2023/04/12 00:00:00,287;13
550,110,2023/05/12 00:00:00,96;62
551,111,2022/10/16 00:00:00,92;66
552,111,2022/11/16 00:00:00,67;09
553,111,2022/12/16 00:00:00,68;07
554,111,2023/01/16 00:00:00,245;43
555,111,2023/02/16 00:00:00,261;71
556,112,2020/07/24 00:00:00,96;56
557,112,2020/08/24 00:00:00,93;02
558,112,2020/09/24 00:00:00,37;66
559,112,2020/10/24 00:00:00,183;93
560,112,2020/11/24 00:00:00,108;36
561,113,2021/03/02 00:00:00,96;10
562,113,2021/04/02 00:00:00,59;88
563,113,2021/05/02 00:00:00,274;11
564,113,2021/06/02 00:00:00,160;64
565,113,2021/07/02 00:00:00,51;18
566,114,2020/09/07 00:00:00,162;34
567,114,2020/10/07 00:00:00,303;99
568,114,2020/11/07 00:00:00,308;29
569,114,2020/12/07 00:00:00,230;87
570,114,2021/01/07 00:00:00,325;71
571,115,2020/04/16 00:00:00,249;42
572,115,2020/05/16 00:00:00,221;21
573,115,2020/06/16 00:00:00,245;25
574,115,2020/07/16 00:00:00,143;88
575,115,2020/08/16 00:00:00,126;04
576,116,2020/06/03 00:00:00,289;15
577,116,2020/07/03 00:00:00,62;55
578,116,2020/08/03 00:00:00,130;04
579,116,2020/09/03 00:00:00,191;10
580,116,2020/10/03 00:00:00,111;73
581,117,2022/04/12 00:00:00,116;42
582,117,2022/05/12 00:00:00,306;74
583,117,2022/06/12 00:00:00,156;33
584,117,2022/07/12 00:00:00,193;90
585,117,2022/08/12 00:00:00,190;10
586,118,2020/11/15 00:00:00,54;68
587,118,2020/12/15 00:00:00,128;21
588,118,2021/01/15 00:00:00,57;72
589,118,2021/02/15 00:00:00,167;55
590,118,2021/03/15 00:00:00,172;75
591,119,2022/07/11 00:00:00,112;15
592,119,2022/08/11 00:00:00,329;99
593,119,2022/09/11 00:00:00,202;94
594,119,2022/10/11 00:00:00,162;67
595,119,2022/11/11 00:00:00,261;87
596,120,2022/01/23 00:00:00,123;05
597,120,2022/02/23 00:00:00,83;70
598,120,2022/03/23 00:00:00,166;03
599,120,2022/04/23 00:00:00,283;34
600,120,2022/05/23 00:00:00,95;60
601,121,2020/10/13 00:00:00,77;36
602,121,2020/11/13 00:00:00,251;45
603,121,2020/12/13 00:00:00,81;40
604,121,2021/01/13 00:00:00,291;42
605,121,2021/02/13 00:00:00,177;20
606,122,2022/03/19 00:00:00,201;45
607,122,2022/04/19 00:00:00,151;84
608,122,2022/05/19 00:00:00,254;18
609,122,2022/06/19 00:00:00,149;39
610,122,2022/07/19 00:00:00,302;56
611,123,2023/06/02 00:00:00,64;01
612,123,2023/07/02 00:00:00,292;98
613,123,2023/08/02 00:00:00,176;56
614,123,2023/09/02 00:00:00,102;20
615,123,2023/10/02 00:00:00,321;94
616,124,2020/10/18 00:00:00,119;37
617,124,2020/11/18 00:00:00,233;55
618,124,2020/12/18 00:00:00,110;20
619,124,2021/01/18 00:00:00,300;54
620,124,2021/02/18 00:00:00,326;50
621,125,2022/03/17 00:00:00,64;13
622,125,2022/04/17 00:00:00,276;27
623,125,2022/05/17 00:00:00,170;73
624,125,2022/06/17 00:00:00,88;12
625,125,2022/07/17 00:00:00,243;56
626,126,2022/12/05 00:00:00,249;43
627,126,2023/01/05 00:00:00,48;27
628,126,2023/02/05 00:00:00,112;58
629,126,2023/03/05 00:00:00,212;02
630,126,2023/04/05 00:00:00,32;99
631,127,2021/08/08 00:00:00,235;45
632,127,2021/09/08 00:00:00,226;52
633,127,2021/10/08 00:00:00,176;70
634,127,2021/11/08 00:00:00,125;50
635,127,2021/12/08 00:00:00,64;37
636,128,2023/10/21 00:00:00,194;97
637,128,2023/11/21 00:00:00,255;33
638,128,2023/12/21 00:00:00,194;92
639,128,2024/01/21 00:00:00,46;70
640,128,2024/02/21 00:00:00,318;65
641,129,2021/03/26 00:00:00,232;84
642,129,2021/04/26 00:00:00,204;03
643,129,2021/05/26 00:00:00,238;33
644,129,2021/06/26 00:00:00,194;99
645,129,2021/07/26 00:00:00,138;74
646,130,2021/06/07 00:00:00,149;17
647,130,2021/07/07 00:00:00,183;43
648,130,2021/08/07 00:00:00,130;73
649,130,2021/09/07 00:00:00,170;73
650,130,2021/10/07 00:00:00,172;50
651,131,2023/05/11 00:00:00,219;51
652,131,2023/06/11 00:00:00,303;50
653,131,2023/07/11 00:00:00,195;49
654,131,2023/08/11 00:00:00,286;84
655,131,2023/09/11 00:00:00,61;47
656,132,2021/03/18 00:00:00,131;09
657,132,2021/04/18 00:00:00,110;72
658,132,2021/05/18 00:00:00,323;28
659,132,2021/06/18 00:00:00,77;85
660,132,2021/07/18 00:00:00,257;77
661,133,2024/01/15 00:00:00,183;18
662,133,2024/02/15 00:00:00,69;26
663,133,2024/03/15 00:00:00,72;17
664,133,2024/04/15 00:00:00,146;40
