LivestockID,FarmerID,TagNumber,Species,Breed,BirthDate,RegistrationDate
25,3,TAG-3-5,Sheep,Nguni,2021/12/01 00:00:00,2022/02/01 00:00:00
26,3,TAG-3-6,Goat,Merino,2021/09/24 00:00:00,2021/11/24 00:00:00
27,3,TAG-3-7,Cattle,Dorper,2023/02/10 00:00:00,2023/04/10 00:00:00
28,3,TAG-3-8,Cattle,Boer Goat,2020/09/15 00:00:00,2020/11/15 00:00:00
29,3,TAG-3-9,Sheep,Dorper,2022/03/01 00:00:00,2022/05/01 00:00:00
30,3,TAG-3-10,Cattle,Boer Goat,2022/09/20 00:00:00,2022/11/20 00:00:00
31,4,TAG-4-1,Cattle,Bonsmara,2022/04/10 00:00:00,2022/06/10 00:00:00
32,4,TAG-4-2,Sheep,Dorper,2020/02/04 00:00:00,2020/04/04 00:00:00
33,4,TAG-4-3,Goat,Merino,2020/09/21 00:00:00,2020/11/21 00:00:00
34,4,TAG-4-4,Cattle,Bonsmara,2023/04/04 00:00:00,2023/06/04 00:00:00
35,4,TAG-4-5,Sheep,Boer Goat,2023/03/24 00:00:00,2023/05/24 00:00:00
36,4,TAG-4-6,Cattle,Merino,2020/12/08 00:00:00,2021/02/08 00:00:00
37,4,TAG-4-7,Cattle,Dorper,2022/01/20 00:00:00,2022/03/20 00:00:00
38,4,TAG-4-8,Cattle,Bonsmara,2022/09/03 00:00:00,2022/11/03 00:00:00
39,4,TAG-4-9,Cattle,Nguni,2020/07/20 00:00:00,2020/09/20 00:00:00
40,4,TAG-4-10,Cattle,Dorper,2023/06/15 00:00:00,2023/08/15 00:00:00
41,5,TAG-5-1,Goat,Merino,2021/07/19 00:00:00,2021/09/19 00:00:00
42,5,TAG-5-2,Sheep,Bonsmara,2021/05/15 00:00:00,2021/07/15 00:00:00
43,5,TAG-5-3,Goat,Nguni,2020/11/01 00:00:00,2021/01/01 00:00:00
44,5,TAG-5-4,Goat,Dorper,2020/01/14 00:00:00,2020/03/14 00:00:00
45,5,TAG-5-5,Cattle,Bonsmara,2020/03/23 00:00:00,2020/05/23 00:00:00
46,5,TAG-5-6,Sheep,Merino,2021/07/17 00:00:00,2021/09/17 00:00:00
47,5,TAG-5-7,Cattle,Nguni,2022/05/02 00:00:00,2022/07/02 00:00:00
48,5,TAG-5-8,Sheep,Merino,2020/05/10 00:00:00,2020/07/10 00:00:00
49,5,TAG-5-9,Goat,Merino,2020/03/04 00:00:00,2020/05/04 00:00:00
50,5,TAG-5-10,Cattle,Nguni,2020/07/11 00:00:00,2020/09/11 00:00:00
51,6,TAG-6-1,Cattle,Bonsmara,2023/01/26 00:00:00,2023/03/26 00:00:00
52,6,TAG-6-2,Goat,Nguni,2020/09/10 00:00:00,2020/11/10 00:00:00
53,6,TAG-6-3,Goat,Nguni,2023/10/24 00:00:00,2023/12/24 00:00:00
54,6,TAG-6-4,Cattle,Dorper,2023/10/22 00:00:00,2023/12/22 00:00:00
55,6,TAG-6-5,Cattle,Dorper,2023/08/19 00:00:00,2023/10/19 00:00:00
56,6,TAG-6-6,Sheep,Merino,2020/01/06 00:00:00,2020/03/06 00:00:00
57,6,TAG-6-7,Goat,Bonsmara,2023/02/13 00:00:00,2023/04/13 00:00:00
58,6,TAG-6-8,Goat,Dorper,2022/06/22 00:00:00,2022/08/22 00:00:00
59,6,TAG-6-9,Sheep,Merino,2021/12/19 00:00:00,2022/02/19 00:00:00
60,6,TAG-6-10,Goat,Bonsmara,2021/04/17 00:00:00,2021/06/17 00:00:00
61,7,TAG-7-1,Cattle,Boer Goat,2021/09/05 00:00:00,2021/11/05 00:00:00
62,7,TAG-7-2,Goat,Bonsmara,2020/05/23 00:00:00,2020/07/23 00:00:00
63,7,TAG-7-3,Cattle,Nguni,2020/07/16 00:00:00,2020/09/16 00:00:00
64,7,TAG-7-4,Sheep,Merino,2023/05/06 00:00:00,2023/07/06 00:00:00
65,7,TAG-7-5,Cattle,Merino,2021/01/07 00:00:00,2021/03/07 00:00:00
66,7,TAG-7-6,Goat,Bonsmara,2023/12/26 00:00:00,2024/02/26 00:00:00
67,7,TAG-7-7,Cattle,Nguni,2022/06/18 00:00:00,2022/08/18 00:00:00
68,7,TAG-7-8,Goat,Merino,2020/12/10 00:00:00,2021/02/10 00:00:00
69,7,TAG-7-9,Sheep,Dorper,2020/08/13 00:00:00,2020/10/13 00:00:00
70,7,TAG-7-10,Goat,Bonsmara,2023/06/16 00:00:00,2023/08/16 00:00:00
71,8,TAG-8-1,Cattle,Merino,2023/02/20 00:00:00,2023/04/20 00:00:00
72,8,TAG-8-2,Goat,Merino,2021/06/26 00:00:00,2021/08/26 00:00:00
73,8,TAG-8-3,Sheep,Dorper,2020/05/08 00:00:00,2020/07/08 00:00:00
74,8,TAG-8-4,Cattle,Nguni,2022/11/15 00:00:00,2023/01/15 00:00:00
75,8,TAG-8-5,Goat,Boer Goat,2023/12/22 00:00:00,2024/02/22 00:00:00
76,8,TAG-8-6,Cattle,Bonsmara,2022/07/08 00:00:00,2022/09/08 00:00:00
77,8,TAG-8-7,Sheep,Bonsmara,2021/05/11 00:00:00,2021/07/11 00:00:00
78,8,TAG-8-8,Goat,Bonsmara,2022/09/16 00:00:00,2022/11/16 00:00:00
79,8,TAG-8-9,Sheep,Boer Goat,2022/01/20 00:00:00,2022/03/20 00:00:00
80,8,TAG-8-10,Cattle,Boer Goat,2023/04/20 00:00:00,2023/06/20 00:00:00
81,9,TAG-9-1,Goat,Dorper,2020/11/15 00:00:00,2021/01/15 00:00:00
82,9,TAG-9-2,Sheep,Bonsmara,2023/05/06 00:00:00,2023/07/06 00:00:00
83,9,TAG-9-3,Sheep,Nguni,2023/03/19 00:00:00,2023/05/19 00:00:00
84,9,TAG-9-4,Cattle,Boer Goat,2023/01/14 00:00:00,2023/03/14 00:00:00
85,9,TAG-9-5,Cattle,Boer Goat,2023/04/26 00:00:00,2023/06/26 00:00:00
86,9,TAG-9-6,Cattle,Merino,2023/04/25 00:00:00,2023/06/25 00:00:00
87,9,TAG-9-7,Sheep,Merino,2021/10/08 00:00:00,2021/12/08 00:00:00
88,9,TAG-9-8,Sheep,Bonsmara,2021/11/24 00:00:00,2022/01/24 00:00:00
89,9,TAG-9-9,Sheep,Dorper,2020/07/21 00:00:00,2020/09/21 00:00:00
90,9,TAG-9-10,Sheep,Boer Goat,2021/05/21 00:00:00,2021/07/21 00:00:00
91,10,TAG-10-1,Goat,Merino,2023/10/19 00:00:00,2023/12/19 00:00:00
92,10,TAG-10-2,Cattle,Boer Goat,2022/12/07 00:00:00,2023/02/07 00:00:00
93,10,TAG-10-3,Goat,Boer Goat,2022/06/26 00:00:00,2022/08/26 00:00:00
94,10,TAG-10-4,Goat,Bonsmara,2020/12/21 00:00:00,2021/02/21 00:00:00
95,10,TAG-10-5,Cattle,Nguni,2023/02/19 00:00:00,2023/04/19 00:00:00
96,10,TAG-10-6,Goat,Dorper,2021/07/01 00:00:00,2021/09/01 00:00:00
97,10,TAG-10-7,Sheep,Merino,2021/07/05 00:00:00,2021/09/05 00:00:00
98,10,TAG-10-8,Goat,Dorper,2022/02/17 00:00:00,2022/04/17 00:00:00
99,10,TAG-10-9,Goat,Nguni,2022/08/19 00:00:00,2022/10/19 00:00:00
100,10,TAG-10-10,Goat,Dorper,2023/08/11 00:00:00,2023/10/11 00:00:00
101,11,TAG-11-1,Sheep,Merino,2022/08/10 00:00:00,2022/10/10 00:00:00
102,11,TAG-11-2,Goat,Nguni,2022/02/10 00:00:00,2022/04/10 00:00:00
103,11,TAG-11-3,Cattle,Dorper,2020/11/22 00:00:00,2021/01/22 00:00:00
104,11,TAG-11-4,Sheep,Bonsmara,2020/04/02 00:00:00,2020/06/02 00:00:00
105,11,TAG-11-5,Goat,Boer Goat,2023/04/10 00:00:00,2023/06/10 00:00:00
106,11,TAG-11-6,Cattle,Boer Goat,2021/06/04 00:00:00,2021/08/04 00:00:00
107,11,TAG-11-7,Goat,Boer Goat,2022/02/12 00:00:00,2022/04/12 00:00:00
108,11,TAG-11-8,Goat,Dorper,2023/02/05 00:00:00,2023/04/05 00:00:00
109,11,TAG-11-9,Cattle,Bonsmara,2021/10/02 00:00:00,2021/12/02 00:00:00
110,11,TAG-11-10,Sheep,Dorper,2022/10/12 00:00:00,2022/12/12 00:00:00
111,12,TAG-12-1,Sheep,Dorper,2022/07/16 00:00:00,2022/09/16 00:00:00
112,12,TAG-12-2,Sheep,Nguni,2020/04/24 00:00:00,2020/06/24 00:00:00
113,12,TAG-12-3,Cattle,Merino,2020/12/02 00:00:00,2021/02/02 00:00:00
114,12,TAG-12-4,Sheep,Nguni,2020/06/07 00:00:00,2020/08/07 00:00:00
115,12,TAG-12-5,Sheep,Boer Goat,2020/01/16 00:00:00,2020/03/16 00:00:00
116,12,TAG-12-6,Sheep,Bonsmara,2020/03/03 00:00:00,2020/05/03 00:00:00
117,12,TAG-12-7,Goat,Bonsmara,2022/01/12 00:00:00,2022/03/12 00:00:00
118,12,TAG-12-8,Goat,Nguni,2020/08/15 00:00:00,2020/10/15 00:00:00
119,12,TAG-12-9,Goat,Bonsmara,2022/04/11 00:00:00,2022/06/11 00:00:00
120,12,TAG-12-10,Sheep,Bonsmara,2021/10/23 00:00:00,2021/12/23 00:00:00
121,13,TAG-13-1,Sheep,Dorper,2020/07/13 00:00:00,2020/09/13 00:00:00
122,13,TAG-13-2,Goat,Dorper,2021/12/19 00:00:00,2022/02/19 00:00:00
123,13,TAG-13-3,Cattle,Merino,2023/03/02 00:00:00,2023/05/02 00:00:00
124,13,TAG-13-4,Goat,Boer Goat,2020/07/18 00:00:00,2020/09/18 00:00:00
125,13,TAG-13-5,Sheep,Merino,2021/12/17 00:00:00,2022/02/17 00:00:00
126,13,TAG-13-6,Cattle,Dorper,2022/09/05 00:00:00,2022/11/05 00:00:00
127,13,TAG-13-7,Cattle,Merino,2021/05/08 00:00:00,2021/07/08 00:00:00
128,13,TAG-13-8,Goat,Boer Goat,2023/07/21 00:00:00,2023/09/21 00:00:00
129,13,TAG-13-9,Sheep,Nguni,2020/12/26 00:00:00,2021/02/26 00:00:00
130,13,TAG-13-10,Sheep,Merino,2021/03/07 00:00:00,2021/05/07 00:00:00
131,14,TAG-14-1,Goat,Boer Goat,2023/02/11 00:00:00,2023/04/11 00:00:00
132,14,TAG-14-2,Cattle,Nguni,2020/12/18 00:00:00,2021/02/18 00:00:00
133,14,TAG-14-3,Sheep,Bonsmara,2023/10/15 00:00:00,2023/12/15 00:00:00
134,14,TAG-14-4,Goat,Merino,2022/11/24 00:00:00,2023/01/24 00:00:00
135,14,TAG-14-5,Cattle,Nguni,2022/10/04 00:00:00,2022/12/04 00:00:00
136,14,TAG-14-6,Sheep,Nguni,2022/01/24 00:00:00,2022/03/24 00:00:00
137,14,TAG-14-7,Goat,Dorper,2021/06/08 00:00:00,2021/08/08 00:00:00
138,14,TAG-14-8,Sheep,Boer Goat,2020/01/20 00:00:00,2020/03/20 00:00:00
139,14,TAG-14-9,Goat,Merino,2023/12/17 00:00:00,2024/02/17 00:00:00
140,14,TAG-14-10,Cattle,Merino,2021/05/06 00:00:00,2021/07/06 00:00:00
141,15,TAG-15-1,Cattle,Dorper,2021/05/16 00:00:00,2021/07/16 00:00:00
142,15,TAG-15-2,Goat,Bonsmara,2020/12/07 00:00:00,2021/02/07 00:00:00
143,15,TAG-15-3,Sheep,Bonsmara,2020/02/26 00:00:00,2020/04/26 00:00:00
144,15,TAG-15-4,Sheep,Merino,2021/07/25 00:00:00,2021/09/25 00:00:00
145,15,TAG-15-5,Cattle,Merino,2022/03/25 00:00:00,2022/05/25 00:00:00
146,15,TAG-15-6,Goat,Bonsmara,2022/03/22 00:00:00,2022/05/22 00:00:00
147,15,TAG-15-7,Cattle,Bonsmara,2020/11/21 00:00:00,2021/01/21 00:00:00
148,15,TAG-15-8,Goat,Dorper,2020/11/26 00:00:00,2021/01/26 00:00:00
149,15,TAG-15-9,Cattle,Boer Goat,2020/09/06 00:00:00,2020/11/06 00:00:00
150,15,TAG-15-10,Goat,Nguni,2023/12/17 00:00:00,2024/02/17 00:00:00
151,16,TAG-16-1,Sheep,Nguni,2023/06/12 00:00:00,2023/08/12 00:00:00
152,16,TAG-16-2,Sheep,Boer Goat,2020/06/08 00:00:00,2020/08/08 00:00:00
153,16,TAG-16-3,Sheep,Merino,2023/02/17 00:00:00,2023/04/17 00:00:00
154,16,TAG-16-4,Cattle,Bonsmara,2021/05/23 00:00:00,2021/07/23 00:00:00
155,16,TAG-16-5,Sheep,Boer Goat,2022/08/08 00:00:00,2022/10/08 00:00:00
156,16,TAG-16-6,Cattle,Bonsmara,2023/01/17 00:00:00,2023/03/17 00:00:00
157,16,TAG-16-7,Goat,Dorper,2022/08/05 00:00:00,2022/10/05 00:00:00
158,16,TAG-16-8,Cattle,Merino,2022/05/02 00:00:00,2022/07/02 00:00:00
159,16,TAG-16-9,Goat,Nguni,2022/07/06 00:00:00,2022/09/06 00:00:00
160,16,TAG-16-10,Sheep,Dorper,2020/02/11 00:00:00,2020/04/11 00:00:00
161,17,TAG-17-1,Cattle,Bonsmara,2021/02/10 00:00:00,2021/04/10 00:00:00
162,17,TAG-17-2,Goat,Nguni,2020/03/18 00:00:00,2020/05/18 00:00:00
163,17,TAG-17-3,Cattle,Merino,2020/11/06 00:00:00,2021/01/06 00:00:00
164,17,TAG-17-4,Sheep,Dorper,2020/01/03 00:00:00,2020/03/03 00:00:00
165,17,TAG-17-5,Sheep,Nguni,2023/04/21 00:00:00,2023/06/21 00:00:00
166,17,TAG-17-6,Goat,Nguni,2023/05/25 00:00:00,2023/07/25 00:00:00
167,17,TAG-17-7,Cattle,Boer Goat,2022/08/24 00:00:00,2022/10/24 00:00:00
168,17,TAG-17-8,Sheep,Bonsmara,2022/04/03 00:00:00,2022/06/03 00:00:00
169,17,TAG-17-9,Sheep,Boer Goat,2021/10/16 00:00:00,2021/12/16 00:00:00
170,17,TAG-17-10,Sheep,Nguni,2022/05/05 00:00:00,2022/07/05 00:00:00
171,18,TAG-18-1,Sheep,Nguni,2020/01/12 00:00:00,2020/03/12 00:00:00
172,18,TAG-18-2,Cattle,Bonsmara,2020/05/18 00:00:00,2020/07/18 00:00:00
173,18,TAG-18-3,Cattle,Merino,2023/04/01 00:00:00,2023/06/01 00:00:00
174,18,TAG-18-4,Sheep,Dorper,2022/12/03 00:00:00,2023/02/03 00:00:00
175,18,TAG-18-5,Cattle,Merino,2023/11/06 00:00:00,2024/01/06 00:00:00
176,18,TAG-18-6,Goat,Boer Goat,2020/09/23 00:00:00,2020/11/23 00:00:00
177,18,TAG-18-7,Goat,Nguni,2022/03/03 00:00:00,2022/05/03 00:00:00
178,18,TAG-18-8,Cattle,Nguni,2022/03/03 00:00:00,2022/05/03 00:00:00
179,18,TAG-18-9,Cattle,Dorper,2021/08/02 00:00:00,2021/10/02 00:00:00
180,18,TAG-18-10,Goat,Bonsmara,2020/10/08 00:00:00,2020/12/08 00:00:00
181,19,TAG-19-1,Sheep,Nguni,2022/04/10 00:00:00,2022/06/10 00:00:00
182,19,TAG-19-2,Cattle,Dorper,2020/11/03 00:00:00,2021/01/03 00:00:00
183,19,TAG-19-3,Sheep,Nguni,2021/07/06 00:00:00,2021/09/06 00:00:00
184,19,TAG-19-4,Cattle,Dorper,2022/03/12 00:00:00,2022/05/12 00:00:00
185,19,TAG-19-5,Sheep,Bonsmara,2021/12/27 00:00:00,2022/02/27 00:00:00
186,19,TAG-19-6,Goat,Boer Goat,2021/11/27 00:00:00,2022/01/27 00:00:00
187,19,TAG-19-7,Sheep,Merino,2021/06/11 00:00:00,2021/08/11 00:00:00
188,19,TAG-19-8,Goat,Nguni,2021/11/06 00:00:00,2022/01/06 00:00:00
189,19,TAG-19-9,Cattle,Bonsmara,2023/02/21 00:00:00,2023/04/21 00:00:00
190,19,TAG-19-10,Cattle,Nguni,2022/05/09 00:00:00,2022/07/09 00:00:00
191,20,TAG-20-1,Goat,Boer Goat,2023/05/03 00:00:00,2023/07/03 00:00:00
192,20,TAG-20-2,Cattle,Dorper,2023/04/17 00:00:00,2023/06/17 00:00:00
193,20,TAG-20-3,Sheep,Merino,2021/11/16 00:00:00,2022/01/16 00:00:00
194,20,TAG-20-4,Cattle,Bonsmara,2023/02/15 00:00:00,2023/04/15 00:00:00
195,20,TAG-20-5,Cattle,Nguni,2023/01/25 00:00:00,2023/03/25 00:00:00
196,20,TAG-20-6,Cattle,Dorper,2020/02/24 00:00:00,2020/04/24 00:00:00
197,20,TAG-20-7,Cattle,Merino,2023/07/22 00:00:00,2023/09/22 00:00:00
198,20,TAG-20-8,Cattle,Bonsmara,2020/05/24 00:00:00,2020/07/24 00:00:00
199,20,TAG-20-9,Sheep,Bonsmara,2020/03/27 00:00:00,2020/05/27 00:00:00
200,20,TAG-20-10,Goat,Bonsmara,2023/07/21 00:00:00,2023/09/21 00:00:00
201,21,TAG-21-1,Goat,Merino,2022/11/03 00:00:00,2023/01/03 00:00:00
202,21,TAG-21-2,Goat,Nguni,2023/06/26 00:00:00,2023/08/26 00:00:00
203,21,TAG-21-3,Cattle,Dorper,2022/05/14 00:00:00,2022/07/14 00:00:00
204,21,TAG-21-4,Goat,Merino,2022/01/07 00:00:00,2022/03/07 00:00:00
205,21,TAG-21-5,Goat,Bonsmara,2022/04/07 00:00:00,2022/06/07 00:00:00
206,21,TAG-21-6,Goat,Nguni,2022/01/06 00:00:00,2022/03/06 00:00:00
207,21,TAG-21-7,Goat,Boer Goat,2022/05/09 00:00:00,2022/07/09 00:00:00
208,21,TAG-21-8,Sheep,Merino,2020/06/11 00:00:00,2020/08/11 00:00:00
209,21,TAG-21-9,Cattle,Nguni,2022/06/11 00:00:00,2022/08/11 00:00:00
210,21,TAG-21-10,Sheep,Nguni,2022/10/20 00:00:00,2022/12/20 00:00:00
211,22,TAG-22-1,Sheep,Nguni,2023/04/06 00:00:00,2023/06/06 00:00:00
212,22,TAG-22-2,Sheep,Dorper,2021/08/18 00:00:00,2021/10/18 00:00:00
213,22,TAG-22-3,Cattle,Merino,2023/03/15 00:00:00,2023/05/15 00:00:00
214,22,TAG-22-4,Sheep,Dorper,2020/02/02 00:00:00,2020/04/02 00:00:00
215,22,TAG-22-5,Cattle,Nguni,2021/09/10 00:00:00,2021/11/10 00:00:00
216,22,TAG-22-6,Cattle,Nguni,2020/11/03 00:00:00,2021/01/03 00:00:00
217,22,TAG-22-7,Goat,Boer Goat,2023/04/12 00:00:00,2023/06/12 00:00:00
218,22,TAG-22-8,Cattle,Nguni,2021/03/10 00:00:00,2021/05/10 00:00:00
219,22,TAG-22-9,Sheep,Merino,2021/10/19 00:00:00,2021/12/19 00:00:00
220,22,TAG-22-10,Goat,Dorper,2021/11/03 00:00:00,2022/01/03 00:00:00
221,23,TAG-23-1,Sheep,Bonsmara,2022/09/23 00:00:00,2022/11/23 00:00:00
222,23,TAG-23-2,Sheep,Nguni,2020/12/03 00:00:00,2021/02/03 00:00:00
223,23,TAG-23-3,Goat,Nguni,2021/07/10 00:00:00,2021/09/10 00:00:00
224,23,TAG-23-4,Cattle,Nguni,2022/10/04 00:00:00,2022/12/04 00:00:00
225,23,TAG-23-5,Sheep,Merino,2020/09/22 00:00:00,2020/11/22 00:00:00
226,23,TAG-23-6,Goat,Bonsmara,2021/12/10 00:00:00,2022/02/10 00:00:00
227,23,TAG-23-7,Goat,Merino,2020/10/14 00:00:00,2020/12/14 00:00:00
228,23,TAG-23-8,Goat,Nguni,2020/06/15 00:00:00,2020/08/15 00:00:00
229,23,TAG-23-9,Cattle,Bonsmara,2021/02/11 00:00:00,2021/04/11 00:00:00
230,23,TAG-23-10,Sheep,Dorper,2023/06/03 00:00:00,2023/08/03 00:00:00
231,24,TAG-24-1,Goat,Dorper,2022/10/02 00:00:00,2022/12/02 00:00:00
232,24,TAG-24-2,Goat,Boer Goat,2023/11/02 00:00:00,2024/01/02 00:00:00
233,24,TAG-24-3,Cattle,Dorper,2020/08/16 00:00:00,2020/10/16 00:00:00
234,24,TAG-24-4,Cattle,Nguni,2022/01/25 00:00:00,2022/03/25 00:00:00
235,24,TAG-24-5,Sheep,Bonsmara,2020/04/14 00:00:00,2020/06/14 00:00:00
236,24,TAG-24-6,Cattle,Bonsmara,2023/05/15 00:00:00,2023/07/15 00:00:00
237,24,TAG-24-7,Goat,Nguni,2020/11/14 00:00:00,2021/01/14 00:00:00
238,24,TAG-24-8,Goat,Bonsmara,2021/09/02 00:00:00,2021/11/02 00:00:00
239,24,TAG-24-9,Goat,Dorper,2020/06/05 00:00:00,2020/08/05 00:00:00
240,24,TAG-24-10,Goat,Nguni,2023/07/04 00:00:00,2023/09/04 00:00:00
241,25,TAG-25-1,Sheep,Dorper,2023/07/02 00:00:00,2023/09/02 00:00:00
242,25,TAG-25-2,Goat,Dorper,2020/04/04 00:00:00,2020/06/04 00:00:00
243,25,TAG-25-3,Sheep,Boer Goat,2021/05/25 00:00:00,2021/07/25 00:00:00
244,25,TAG-25-4,Cattle,Boer Goat,2021/02/27 00:00:00,2021/04/27 00:00:00
245,25,TAG-25-5,Cattle,Dorper,2023/12/08 00:00:00,2024/02/08 00:00:00
246,25,TAG-25-6,Cattle,Dorper,2022/02/04 00:00:00,2022/04/04 00:00:00
247,25,TAG-25-7,Cattle,Dorper,2021/03/04 00:00:00,2021/05/04 00:00:00
248,25,TAG-25-8,Sheep,Dorper,2021/11/19 00:00:00,2022/01/19 00:00:00
249,25,TAG-25-9,Sheep,Boer Goat,2020/08/11 00:00:00,2020/10/11 00:00:00
250,25,TAG-25-10,Cattle,Merino,2023/07/14 00:00:00,2023/09/14 00:00:00
251,26,TAG-26-1,Cattle,Nguni,2022/07/01 00:00:00,2022/09/01 00:00:00
252,26,TAG-26-2,Sheep,Nguni,2023/04/22 00:00:00,2023/06/22 00:00:00
253,26,TAG-26-3,Sheep,Merino,2020/02/04 00:00:00,2020/04/04 00:00:00
254,26,TAG-26-4,Sheep,Bonsmara,2020/03/24 00:00:00,2020/05/24 00:00:00
255,26,TAG-26-5,Cattle,Nguni,2021/05/08 00:00:00,2021/07/08 00:00:00
256,26,TAG-26-6,Sheep,Nguni,2021/07/14 00:00:00,2021/09/14 00:00:00
257,26,TAG-26-7,Goat,Boer Goat,2020/08/27 00:00:00,2020/10/27 00:00:00
258,26,TAG-26-8,Sheep,Nguni,2023/03/03 00:00:00,2023/05/03 00:00:00
259,26,TAG-26-9,Goat,Dorper,2020/01/21 00:00:00,2020/03/21 00:00:00
260,26,TAG-26-10,Cattle,Nguni,2020/06/20 00:00:00,2020/08/20 00:00:00
261,27,TAG-27-1,Goat,Nguni,2022/08/20 00:00:00,2022/10/20 00:00:00
262,27,TAG-27-2,Sheep,Dorper,2021/03/24 00:00:00,2021/05/24 00:00:00
263,27,TAG-27-3,Sheep,Dorper,2020/10/26 00:00:00,2020/12/26 00:00:00
264,27,TAG-27-4,Goat,Merino,2021/02/18 00:00:00,2021/04/18 00:00:00
265,27,TAG-27-5,Sheep,Merino,2023/02/27 00:00:00,2023/04/27 00:00:00
266,27,TAG-27-6,Cattle,Nguni,2021/08/21 00:00:00,2021/10/21 00:00:00
267,27,TAG-27-7,Sheep,Boer Goat,2023/11/06 00:00:00,2024/01/06 00:00:00
268,27,TAG-27-8,Goat,Dorper,2022/12/17 00:00:00,2023/02/17 00:00:00
269,27,TAG-27-9,Sheep,Dorper,2022/05/05 00:00:00,2022/07/05 00:00:00
270,27,TAG-27-10,Goat,Boer Goat,2021/02/24 00:00:00,2021/04/24 00:00:00
271,28,TAG-28-1,Sheep,Nguni,2023/10/10 00:00:00,2023/12/10 00:00:00
272,28,TAG-28-2,Sheep,Bonsmara,2022/08/02 00:00:00,2022/10/02 00:00:00
273,28,TAG-28-3,Sheep,Nguni,2022/07/15 00:00:00,2022/09/15 00:00:00
274,28,TAG-28-4,Goat,Merino,2021/07/07 00:00:00,2021/09/07 00:00:00
275,28,TAG-28-5,Goat,Dorper,2022/07/09 00:00:00,2022/09/09 00:00:00
276,28,TAG-28-6,Sheep,Nguni,2022/12/02 00:00:00,2023/02/02 00:00:00
277,28,TAG-28-7,Sheep,Nguni,2021/10/05 00:00:00,2021/12/05 00:00:00
278,28,TAG-28-8,Goat,Dorper,2023/07/13 00:00:00,2023/09/13 00:00:00
279,28,TAG-28-9,Sheep,Boer Goat,2023/11/23 00:00:00,2024/01/23 00:00:00
280,28,TAG-28-10,Sheep,Merino,2020/10/10 00:00:00,2020/12/10 00:00:00
281,29,TAG-29-1,Cattle,Bonsmara,2023/11/09 00:00:00,2024/01/09 00:00:00
282,29,TAG-29-2,Sheep,Merino,2021/07/25 00:00:00,2021/09/25 00:00:00
283,29,TAG-29-3,Goat,Boer Goat,2022/08/08 00:00:00,2022/10/08 00:00:00
284,29,TAG-29-4,Goat,Nguni,2023/04/15 00:00:00,2023/06/15 00:00:00
285,29,TAG-29-5,Sheep,Bonsmara,2023/02/20 00:00:00,2023/04/20 00:00:00
286,29,TAG-29-6,Cattle,Dorper,2022/09/17 00:00:00,2022/11/17 00:00:00
287,29,TAG-29-7,Cattle,Boer Goat,2023/08/07 00:00:00,2023/10/07 00:00:00
288,29,TAG-29-8,Cattle,Dorper,2021/06/03 00:00:00,2021/08/03 00:00:00
