HealthRecordID,LivestockID,CheckDate,Notes,Treatment
32,32,2020/08/04 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
33,33,2021/03/21 00:00:00,Minor infection treated; under observation.,Antibiotics (Oxytetracycline)
34,34,2023/10/04 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
35,35,2023/09/24 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
36,36,2021/06/08 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
37,37,2022/07/20 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
38,38,2023/03/03 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
39,39,2021/01/20 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
40,40,2023/12/15 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
41,41,2022/01/19 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
42,42,2021/11/15 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
43,43,2021/05/01 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
44,44,2020/07/14 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
45,45,2020/09/23 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
46,46,2022/01/17 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
47,47,2022/11/02 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
48,48,2020/11/10 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
49,49,2020/09/04 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
50,50,2021/01/11 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
51,51,2023/07/26 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
52,52,2021/03/10 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
53,53,2024/04/24 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
54,54,2024/04/22 00:00:00,Wound from fencing; disinfected and bandaged.,Foot Rot Treatment
55,55,2024/02/19 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
56,56,2020/07/06 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
57,57,2023/08/13 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
58,58,2022/12/22 00:00:00,Hoof trimmed and cleaned.,Fly Repellent Spray
59,59,2022/06/19 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
60,60,2021/10/17 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
61,61,2022/03/05 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
62,62,2020/11/23 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
63,63,2021/01/16 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
64,64,2023/11/06 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
65,65,2021/07/07 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
66,66,2024/06/26 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
67,67,2022/12/18 00:00:00,Increased weight gain; healthy condition.,Deworming
68,68,2021/06/10 00:00:00,Routine check-up; all vitals normal.,Tick and Flea Dip
69,69,2021/02/13 00:00:00,Loss of appetite for 2 days.,Foot Rot Treatment
70,70,2023/12/16 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
71,71,2023/08/20 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
72,72,2021/12/26 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
73,73,2020/11/08 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
74,74,2023/05/15 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
75,75,2024/06/22 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
76,76,2023/01/08 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
77,77,2021/11/11 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
78,78,2023/03/16 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
79,79,2022/07/20 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
80,80,2023/10/20 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
81,81,2021/05/15 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
82,82,2023/11/06 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
83,83,2023/09/19 00:00:00,Mild coughing; vitamin booster given.,Deworming
84,84,2023/07/14 00:00:00,Exhibiting signs of heat stress.,Deworming
85,85,2023/10/26 00:00:00,Minor cut observed on front leg.,Multivitamin Supplement
86,86,2023/10/25 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
87,87,2022/04/08 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
88,88,2022/05/24 00:00:00,Wound from fencing; disinfected and bandaged.,Vitamin B12 Injection
89,89,2021/01/21 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
90,90,2021/11/21 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
91,91,2024/04/19 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
92,92,2023/06/07 00:00:00,Hoof trimmed and cleaned.,Fly Repellent Spray
93,93,2022/12/26 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
94,94,2021/06/21 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
95,95,2023/08/19 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
96,96,2022/01/01 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
97,97,2022/01/05 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
98,98,2022/08/17 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
99,99,2023/02/19 00:00:00,Routine check-up; all vitals normal.,Antibiotics (Oxytetracycline)
100,100,2024/02/11 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
101,101,2023/02/10 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
102,102,2022/08/10 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
103,103,2021/05/22 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
104,104,2020/10/02 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
105,105,2023/10/10 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
106,106,2021/12/04 00:00:00,Minor cut observed on front leg.,Multivitamin Supplement
107,107,2022/08/12 00:00:00,Wound from fencing; disinfected and bandaged.,Foot Rot Treatment
108,108,2023/08/05 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
109,109,2022/04/02 00:00:00,Routine check-up; all vitals normal.,Multivitamin Supplement
110,110,2023/04/12 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
111,111,2023/01/16 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
112,112,2020/10/24 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
113,113,2021/06/02 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
114,114,2020/12/07 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
115,115,2020/07/16 00:00:00,Routine check-up; all vitals normal.,Multivitamin Supplement
116,116,2020/09/03 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
117,117,2022/07/12 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
118,118,2021/02/15 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
119,119,2022/10/11 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
120,120,2022/04/23 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
121,121,2021/01/13 00:00:00,Loss of appetite for 2 days.,Anti-inflammatory Injection
122,122,2022/06/19 00:00:00,Routine check-up; all vitals normal.,Fly Repellent Spray
123,123,2023/09/02 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
124,124,2021/01/18 00:00:00,Increased weight gain; healthy condition.,Vitamin B12 Injection
125,125,2022/06/17 00:00:00,Routine check-up; all vitals normal.,Tick and Flea Dip
126,126,2023/03/05 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
127,127,2021/11/08 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
128,128,2024/01/21 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
129,129,2021/06/26 00:00:00,Hoof trimmed and cleaned.,Deworming
130,130,2021/09/07 00:00:00,Minor infection treated; under observation.,Antibiotics (Oxytetracycline)
131,131,2023/08/11 00:00:00,Minor infection treated; under observation.,Fly Repellent Spray
132,132,2021/06/18 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
133,133,2024/04/15 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
134,134,2023/05/24 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
135,135,2023/04/04 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
136,136,2022/07/24 00:00:00,Minor infection treated; under observation.,Fly Repellent Spray
137,137,2021/12/08 00:00:00,Wound from fencing; disinfected and bandaged.,Fly Repellent Spray
138,138,2020/07/20 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
139,139,2024/06/17 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
140,140,2021/11/06 00:00:00,Hoof trimmed and cleaned.,Deworming
141,141,2021/11/16 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
142,142,2021/06/07 00:00:00,Hoof trimmed and cleaned.,Vaccination (Anthrax)
143,143,2020/08/26 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
144,144,2022/01/25 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
145,145,2022/09/25 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
146,146,2022/09/22 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
147,147,2021/05/21 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
148,148,2021/05/26 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
149,149,2021/03/06 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
150,150,2024/06/17 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
151,151,2023/12/12 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
152,152,2020/12/08 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
153,153,2023/08/17 00:00:00,Hoof trimmed and cleaned.,Vaccination (Anthrax)
154,154,2021/11/23 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
155,155,2023/02/08 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
156,156,2023/07/17 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
157,157,2023/02/05 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
158,158,2022/11/02 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
159,159,2023/01/06 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
160,160,2020/08/11 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
161,161,2021/08/10 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
162,162,2020/09/18 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
163,163,2021/05/06 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
164,164,2020/07/03 00:00:00,Wound from fencing; disinfected and bandaged.,Foot Rot Treatment
165,165,2023/10/21 00:00:00,Routine check-up; all vitals normal.,Deworming
166,166,2023/11/25 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
167,167,2023/02/24 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
168,168,2022/10/03 00:00:00,Wound from fencing; disinfected and bandaged.,Fly Repellent Spray
169,169,2022/04/16 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
170,170,2022/11/05 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
171,171,2020/07/12 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
172,172,2020/11/18 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
173,173,2023/10/01 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
174,174,2023/06/03 00:00:00,Minor infection treated; under observation.,Antibiotics (Oxytetracycline)
175,175,2024/05/06 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
176,176,2021/03/23 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
177,177,2022/09/03 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
178,178,2022/09/03 00:00:00,Mild coughing; vitamin booster given.,Deworming
179,179,2022/02/02 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
180,180,2021/04/08 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
181,181,2022/10/10 00:00:00,Increased weight gain; healthy condition.,Deworming
182,182,2021/05/03 00:00:00,Vaccination administered; no side effects.,Vitamin B12 Injection
183,183,2022/01/06 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
184,184,2022/09/12 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
185,185,2022/06/27 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
186,186,2022/05/27 00:00:00,Loss of appetite for 2 days.,Foot Rot Treatment
187,187,2021/12/11 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
188,188,2022/05/06 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
189,189,2023/08/21 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
190,190,2022/11/09 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
191,191,2023/11/03 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
192,192,2023/10/17 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
193,193,2022/05/16 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
194,194,2023/08/15 00:00:00,Wound from fencing; disinfected and bandaged.,Vitamin B12 Injection
195,195,2023/07/25 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
196,196,2020/08/24 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
197,197,2024/01/22 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
198,198,2020/11/24 00:00:00,Wound from fencing; disinfected and bandaged.,Vitamin B12 Injection
199,199,2020/09/27 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
200,200,2024/01/21 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
201,201,2023/05/03 00:00:00,Vaccination administered; no side effects.,Deworming
202,202,2023/12/26 00:00:00,Mild coughing; vitamin booster given.,Anti-inflammatory Injection
203,203,2022/11/14 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
204,204,2022/07/07 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
205,205,2022/10/07 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
206,206,2022/07/06 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
207,207,2022/11/09 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
208,208,2020/12/11 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
209,209,2022/12/11 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
210,210,2023/04/20 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
211,211,2023/10/06 00:00:00,Exhibiting signs of heat stress.,Deworming
212,212,2022/02/18 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
213,213,2023/09/15 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
214,214,2020/08/02 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
215,215,2022/03/10 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
216,216,2021/05/03 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
217,217,2023/10/12 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
218,218,2021/09/10 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
219,219,2022/04/19 00:00:00,Wound from fencing; disinfected and bandaged.,Deworming
220,220,2022/05/03 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
221,221,2023/03/23 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
222,222,2021/06/03 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
223,223,2022/01/10 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
224,224,2023/04/04 00:00:00,Loss of appetite for 2 days.,Vaccination (Anthrax)
225,225,2021/03/22 00:00:00,Routine check-up; all vitals normal.,Deworming
226,226,2022/06/10 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
227,227,2021/04/14 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
228,228,2020/12/15 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
229,229,2021/08/11 00:00:00,Loss of appetite for 2 days.,Vitamin B12 Injection
230,230,2023/12/03 00:00:00,Increased weight gain; healthy condition.,Deworming
231,231,2023/04/02 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
232,232,2024/05/02 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
233,233,2021/02/16 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
234,234,2022/07/25 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
235,235,2020/10/14 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
236,236,2023/11/15 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
237,237,2021/05/14 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
238,238,2022/03/02 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
239,239,2020/12/05 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
240,240,2024/01/04 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
241,241,2024/01/02 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
242,242,2020/10/04 00:00:00,Loss of appetite for 2 days.,Vitamin B12 Injection
243,243,2021/11/25 00:00:00,Loss of appetite for 2 days.,Vitamin B12 Injection
244,244,2021/08/27 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
245,245,2024/06/08 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
246,246,2022/08/04 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
247,247,2021/09/04 00:00:00,Vaccination administered; no side effects.,Deworming
248,248,2022/05/19 00:00:00,Vaccination administered; no side effects.,Multivitamin Supplement
249,249,2021/02/11 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
250,250,2024/01/14 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
251,251,2023/01/01 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
252,252,2023/10/22 00:00:00,Minor cut observed on front leg.,Multivitamin Supplement
253,253,2020/08/04 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
254,254,2020/09/24 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
255,255,2021/11/08 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
256,256,2022/01/14 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
257,257,2021/02/27 00:00:00,Vaccination administered; no side effects.,Deworming
258,258,2023/09/03 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
259,259,2020/07/21 00:00:00,Mild coughing; vitamin booster given.,Vitamin B12 Injection
260,260,2020/12/20 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
261,261,2023/02/20 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
262,262,2021/09/24 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
263,263,2021/04/26 00:00:00,Vaccination administered; no side effects.,Deworming
264,264,2021/08/18 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
265,265,2023/08/27 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
266,266,2022/02/21 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
267,267,2024/05/06 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
268,268,2023/06/17 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
269,269,2022/11/05 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
270,270,2021/08/24 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
271,271,2024/04/10 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
272,272,2023/02/02 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
273,273,2023/01/15 00:00:00,Mild coughing; vitamin booster given.,Deworming
274,274,2022/01/07 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
275,275,2023/01/09 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
276,276,2023/06/02 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
277,277,2022/04/05 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
278,278,2024/01/13 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
279,279,2024/05/23 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
280,280,2021/04/10 00:00:00,Minor cut observed on front leg.,Deworming
281,281,2024/05/09 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
282,282,2022/01/25 00:00:00,Loss of appetite for 2 days.,Electrolytes Added to Water
283,283,2023/02/08 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
284,284,2023/10/15 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
285,285,2023/08/20 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
286,286,2023/03/17 00:00:00,Minor cut observed on front leg.,Deworming
287,287,2024/02/07 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
288,288,2021/12/03 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
289,289,2022/02/18 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
290,290,2021/02/07 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
291,291,2023/10/21 00:00:00,Mild coughing; vitamin booster given.,Deworming
292,292,2022/08/18 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
293,293,2023/06/22 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
294,294,2023/11/27 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
295,295,2021/09/09 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
296,296,2021/12/21 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
297,297,2020/12/08 00:00:00,Minor infection treated; under observation.,Deworming
298,298,2023/05/17 00:00:00,Routine check-up; all vitals normal.,Tick and Flea Dip
299,299,2022/04/17 00:00:00,Minor cut observed on front leg.,Deworming
300,300,2023/04/18 00:00:00,Wound from fencing; disinfected and bandaged.,Foot Rot Treatment
301,301,2024/02/27 00:00:00,Loss of appetite for 2 days.,Electrolytes Added to Water
302,302,2023/06/26 00:00:00,Loss of appetite for 2 days.,Foot Rot Treatment
303,303,2021/11/08 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
304,304,2021/02/02 00:00:00,Hoof trimmed and cleaned.,Deworming
305,305,2021/04/10 00:00:00,Routine check-up; all vitals normal.,Vaccination (Anthrax)
306,306,2023/02/05 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
307,307,2022/04/13 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
308,308,2021/12/23 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
309,309,2023/05/22 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
310,310,2023/12/14 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
311,311,2024/03/18 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
312,312,2020/10/11 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
313,313,2024/03/07 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
314,314,2022/06/06 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
315,315,2024/04/06 00:00:00,Loss of appetite for 2 days.,Foot Rot Treatment
316,316,2021/06/04 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
317,317,2020/08/01 00:00:00,Wound from fencing; disinfected and bandaged.,Deworming
318,318,2022/08/09 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
319,319,2020/07/01 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
