PestTreatmentID,CropID,TreatmentDate,PestDetected,ChemicalUsed,Dosage
39,65,2023/12/29 00:00:00,Armyworm,Insecticide Z,12ml per litre
40,68,2024/02/23 00:00:00,Aphids,Neem Oil,18ml per litre
41,69,2023/07/17 00:00:00,Weevils,Insecticide Z,16ml per litre
42,75,2024/10/18 00:00:00,Cutworms,Pesticide A,12ml per litre
43,76,2024/10/07 00:00:00,Cutworms,Pesticide B,8ml per litre
44,81,2024/07/26 00:00:00,Aphids,Insecticide Z,10ml per litre
45,87,2024/02/11 00:00:00,Armyworm,Insecticide Z,12ml per litre
46,89,2024/01/04 00:00:00,Aphids,Insecticide Z,15ml per litre
47,90,2023/12/11 00:00:00,Armyworm,Insecticide Z,12ml per litre
48,92,2023/12/04 00:00:00,Armyworm,Insecticide Z,18ml per litre
49,93,2024/03/22 00:00:00,Aphids,Insecticide Z,5ml per litre
50,95,2023/11/30 00:00:00,Weevils,Pesticide A,15ml per litre
51,100,2024/02/02 00:00:00,Armyworm,Neem Oil,18ml per litre
52,105,2024/04/01 00:00:00,Weevils,Insecticide Z,11ml per litre
53,107,2023/06/10 00:00:00,Armyworm,Pesticide A,18ml per litre
54,108,2025/01/13 00:00:00,Cutworms,Pesticide A,10ml per litre
55,112,2023/06/03 00:00:00,Aphids,Pesticide A,19ml per litre
56,115,2023/11/15 00:00:00,Weevils,Pesticide A,18ml per litre
57,117,2023/07/24 00:00:00,Armyworm,Pesticide B,12ml per litre
58,118,2024/07/25 00:00:00,Cutworms,Pesticide A,6ml per litre
59,119,2024/03/07 00:00:00,Aphids,Insecticide Z,18ml per litre
60,123,2023/08/07 00:00:00,Armyworm,Neem Oil,7ml per litre
61,125,2023/09/04 00:00:00,Cutworms,Pesticide A,13ml per litre
62,126,2025/02/11 00:00:00,Armyworm,Pesticide A,16ml per litre
63,127,2024/01/23 00:00:00,Armyworm,Insecticide Z,18ml per litre
64,132,2023/01/31 00:00:00,Aphids,Insecticide Z,11ml per litre
65,135,2024/02/17 00:00:00,Armyworm,Pesticide B,15ml per litre
66,136,2023/11/05 00:00:00,Weevils,Neem Oil,13ml per litre
67,138,2024/11/23 00:00:00,Cutworms,Pesticide B,14ml per litre
68,139,2023/05/19 00:00:00,Weevils,Insecticide Z,5ml per litre
69,140,2023/04/26 00:00:00,Aphids,Pesticide A,19ml per litre
70,144,2023/02/07 00:00:00,Aphids,Insecticide Z,8ml per litre
71,145,2023/05/02 00:00:00,Weevils,Insecticide Z,5ml per litre
72,146,2024/01/03 00:00:00,Cutworms,Pesticide A,9ml per litre
73,147,2024/10/07 00:00:00,Armyworm,Insecticide Z,12ml per litre
74,151,2023/03/20 00:00:00,Armyworm,Pesticide B,6ml per litre
75,154,2024/08/06 00:00:00,Armyworm,Pesticide B,19ml per litre
76,155,2024/01/14 00:00:00,Aphids,Neem Oil,16ml per litre
77,157,2023/07/25 00:00:00,Armyworm,Pesticide A,14ml per litre
78,158,2024/07/18 00:00:00,Aphids,Pesticide A,15ml per litre
79,159,2024/09/13 00:00:00,Weevils,Insecticide Z,13ml per litre
80,160,2024/08/11 00:00:00,Armyworm,Insecticide Z,11ml per litre
81,162,2024/10/08 00:00:00,Armyworm,Pesticide B,19ml per litre
82,165,2024/04/22 00:00:00,Armyworm,Neem Oil,7ml per litre
83,167,2024/09/06 00:00:00,Aphids,Neem Oil,17ml per litre
84,168,2023/06/07 00:00:00,Weevils,Pesticide A,11ml per litre
85,171,2024/05/21 00:00:00,Armyworm,Insecticide Z,15ml per litre
86,172,2024/10/04 00:00:00,Armyworm,Pesticide A,8ml per litre
87,175,2024/11/07 00:00:00,Armyworm,Pesticide A,10ml per litre
88,176,2024/11/21 00:00:00,Weevils,Pesticide B,11ml per litre
89,178,2024/10/18 00:00:00,Aphids,Pesticide B,6ml per litre
90,181,2023/06/14 00:00:00,Aphids,Pesticide A,10ml per litre
91,182,2023/02/20 00:00:00,Weevils,Insecticide Z,11ml per litre
92,183,2023/06/01 00:00:00,Armyworm,Pesticide B,11ml per litre
93,185,2023/06/07 00:00:00,Armyworm,Insecticide Z,14ml per litre
94,187,2024/04/20 00:00:00,Weevils,Pesticide A,7ml per litre
95,188,2024/01/22 00:00:00,Cutworms,Pesticide B,16ml per litre
96,189,2024/09/01 00:00:00,Cutworms,Pesticide A,19ml per litre
97,190,2024/05/07 00:00:00,Weevils,Pesticide B,13ml per litre
98,191,2023/03/19 00:00:00,Weevils,Pesticide B,6ml per litre
99,192,2023/08/31 00:00:00,Aphids,Pesticide B,9ml per litre
100,193,2023/03/23 00:00:00,Cutworms,Pesticide A,8ml per litre
101,194,2023/12/21 00:00:00,Aphids,Pesticide B,7ml per litre
102,197,2025/01/08 00:00:00,Aphids,Pesticide B,13ml per litre
103,201,2024/02/18 00:00:00,Armyworm,Pesticide A,17ml per litre
104,202,2024/06/01 00:00:00,Armyworm,Pesticide A,7ml per litre
105,210,2023/05/03 00:00:00,Armyworm,Neem Oil,7ml per litre
106,211,2023/11/25 00:00:00,Armyworm,Pesticide B,5ml per litre
107,212,2024/05/06 00:00:00,Weevils,Pesticide B,6ml per litre
108,222,2023/07/20 00:00:00,Aphids,Insecticide Z,5ml per litre
109,224,2023/08/20 00:00:00,Weevils,Insecticide Z,18ml per litre
110,226,2023/08/20 00:00:00,Cutworms,Neem Oil,8ml per litre
111,227,2024/08/12 00:00:00,Weevils,Neem Oil,6ml per litre
112,229,2023/10/12 00:00:00,Aphids,Pesticide A,15ml per litre
113,230,2024/01/06 00:00:00,Aphids,Pesticide B,14ml per litre
114,232,2023/03/18 00:00:00,Cutworms,Pesticide B,8ml per litre
115,235,2024/09/06 00:00:00,Weevils,Pesticide B,18ml per litre
116,237,2024/07/27 00:00:00,Cutworms,Insecticide Z,15ml per litre
117,238,2024/08/05 00:00:00,Armyworm,Neem Oil,18ml per litre
118,240,2025/01/19 00:00:00,Weevils,Pesticide A,10ml per litre
119,242,2024/07/03 00:00:00,Cutworms,Pesticide B,11ml per litre
120,243,2023/02/16 00:00:00,Weevils,Neem Oil,10ml per litre
121,244,2023/10/24 00:00:00,Cutworms,Pesticide B,9ml per litre
122,246,2024/10/06 00:00:00,Aphids,Insecticide Z,18ml per litre
123,248,2024/01/27 00:00:00,Weevils,Pesticide B,7ml per litre
124,250,2023/09/23 00:00:00,Armyworm,Pesticide A,12ml per litre
125,255,2023/07/04 00:00:00,Aphids,Pesticide B,6ml per litre
126,258,2023/09/14 00:00:00,Weevils,Neem Oil,5ml per litre
127,260,2023/07/30 00:00:00,Aphids,Pesticide B,8ml per litre
128,261,2023/07/07 00:00:00,Armyworm,Neem Oil,19ml per litre
129,262,2023/04/25 00:00:00,Weevils,Pesticide A,6ml per litre
130,263,2024/02/05 00:00:00,Armyworm,Pesticide A,8ml per litre
131,264,2024/12/09 00:00:00,Weevils,Pesticide A,12ml per litre
132,265,2024/06/07 00:00:00,Cutworms,Pesticide B,10ml per litre
133,266,2023/04/18 00:00:00,Aphids,Neem Oil,14ml per litre
134,267,2024/06/05 00:00:00,Aphids,Pesticide A,13ml per litre
135,268,2023/04/16 00:00:00,Armyworm,Pesticide B,12ml per litre
136,277,2023/03/22 00:00:00,Cutworms,Insecticide Z,6ml per litre
137,278,2023/05/27 00:00:00,Armyworm,Insecticide Z,17ml per litre
138,281,2025/02/03 00:00:00,Armyworm,Pesticide B,11ml per litre
139,282,2023/04/13 00:00:00,Armyworm,Neem Oil,15ml per litre
140,283,2023/08/20 00:00:00,Armyworm,Neem Oil,6ml per litre
141,284,2024/10/03 00:00:00,Cutworms,Pesticide B,6ml per litre
142,288,2024/05/06 00:00:00,Weevils,Insecticide Z,9ml per litre
143,289,2023/06/20 00:00:00,Cutworms,Pesticide A,7ml per litre
144,293,2024/03/27 00:00:00,Cutworms,Neem Oil,5ml per litre
145,295,2024/07/29 00:00:00,Aphids,Insecticide Z,9ml per litre
146,296,2023/05/27 00:00:00,Weevils,Pesticide B,10ml per litre
147,297,2025/01/01 00:00:00,Weevils,Insecticide Z,15ml per litre
148,298,2023/02/16 00:00:00,Cutworms,Neem Oil,19ml per litre
149,299,2024/06/09 00:00:00,Aphids,Insecticide Z,13ml per litre
150,302,2023/04/24 00:00:00,Armyworm,Insecticide Z,15ml per litre
151,308,2023/08/30 00:00:00,Armyworm,Neem Oil,18ml per litre
152,309,2024/05/02 00:00:00,Cutworms,Pesticide A,8ml per litre
153,310,2025/01/17 00:00:00,Aphids,Pesticide A,7ml per litre
154,311,2023/09/22 00:00:00,Armyworm,Pesticide B,19ml per litre
155,314,2025/01/28 00:00:00,Aphids,Pesticide A,5ml per litre
156,315,2023/09/04 00:00:00,Aphids,Neem Oil,12ml per litre
157,317,2024/10/20 00:00:00,Weevils,Pesticide B,10ml per litre
158,318,2025/01/09 00:00:00,Weevils,Pesticide A,12ml per litre
159,321,2025/01/15 00:00:00,Aphids,Neem Oil,16ml per litre
160,322,2023/10/03 00:00:00,Weevils,Pesticide A,16ml per litre
161,324,2023/08/15 00:00:00,Cutworms,Insecticide Z,16ml per litre
162,325,2024/10/22 00:00:00,Aphids,Neem Oil,6ml per litre
163,327,2024/03/02 00:00:00,Aphids,Neem Oil,15ml per litre
164,328,2024/03/24 00:00:00,Aphids,Pesticide B,18ml per litre
165,329,2024/04/17 00:00:00,Aphids,Pesticide B,5ml per litre
166,330,2024/04/06 00:00:00,Aphids,Insecticide Z,12ml per litre
167,332,2023/02/21 00:00:00,Armyworm,Pesticide B,17ml per litre
168,333,2024/04/15 00:00:00,Aphids,Pesticide B,11ml per litre
169,336,2024/02/13 00:00:00,Armyworm,Pesticide B,7ml per litre
170,340,2023/02/07 00:00:00,Cutworms,Neem Oil,17ml per litre
171,342,2024/12/28 00:00:00,Weevils,Neem Oil,19ml per litre
172,343,2023/07/23 00:00:00,Aphids,Insecticide Z,13ml per litre
173,344,2024/05/24 00:00:00,Weevils,Insecticide Z,19ml per litre
174,346,2024/09/23 00:00:00,Armyworm,Neem Oil,11ml per litre
175,348,2024/09/12 00:00:00,Weevils,Insecticide Z,17ml per litre
176,352,2023/05/01 00:00:00,Cutworms,Pesticide B,8ml per litre
177,355,2023/12/25 00:00:00,Weevils,Insecticide Z,14ml per litre
178,357,2023/08/28 00:00:00,Aphids,Pesticide B,6ml per litre
179,359,2023/03/28 00:00:00,Aphids,Pesticide A,8ml per litre
180,364,2023/07/29 00:00:00,Weevils,Pesticide B,16ml per litre
181,365,2024/03/01 00:00:00,Aphids,Pesticide B,11ml per litre
182,366,2024/05/27 00:00:00,Aphids,Insecticide Z,19ml per litre
183,367,2024/09/08 00:00:00,Weevils,Pesticide A,16ml per litre
184,368,2024/10/26 00:00:00,Armyworm,Insecticide Z,5ml per litre
185,370,2023/05/24 00:00:00,Cutworms,Pesticide B,10ml per litre
186,371,2024/11/23 00:00:00,Cutworms,Pesticide B,10ml per litre
187,373,2023/09/17 00:00:00,Cutworms,Insecticide Z,13ml per litre
188,374,2024/06/21 00:00:00,Armyworm,Pesticide B,16ml per litre
189,375,2023/10/16 00:00:00,Cutworms,Pesticide B,8ml per litre
190,378,2024/02/27 00:00:00,Cutworms,Pesticide A,8ml per litre
191,380,2023/05/04 00:00:00,Cutworms,Pesticide A,5ml per litre
192,381,2023/11/28 00:00:00,Armyworm,Neem Oil,13ml per litre
193,382,2024/04/18 00:00:00,Weevils,Neem Oil,18ml per litre
194,387,2024/06/06 00:00:00,Aphids,Pesticide A,19ml per litre
195,390,2024/01/13 00:00:00,Weevils,Neem Oil,15ml per litre
196,391,2024/01/31 00:00:00,Cutworms,Neem Oil,7ml per litre
197,393,2024/08/05 00:00:00,Cutworms,Pesticide B,10ml per litre
198,395,2023/06/01 00:00:00,Aphids,Pesticide B,14ml per litre
199,397,2024/12/14 00:00:00,Armyworm,Neem Oil,13ml per litre
200,398,2023/03/23 00:00:00,Cutworms,Neem Oil,5ml per litre
201,399,2023/12/15 00:00:00,Cutworms,Pesticide B,6ml per litre
202,400,2024/04/29 00:00:00,Aphids,Pesticide B,17ml per litre
203,401,2023/06/04 00:00:00,Cutworms,Pesticide B,13ml per litre
204,404,2023/02/05 00:00:00,Aphids,Insecticide Z,16ml per litre
205,406,2024/04/13 00:00:00,Weevils,Pesticide B,8ml per litre
206,407,2023/03/17 00:00:00,Weevils,Neem Oil,12ml per litre
207,409,2023/11/19 00:00:00,Cutworms,Pesticide A,18ml per litre
208,410,2024/04/25 00:00:00,Aphids,Pesticide A,17ml per litre
209,411,2023/09/04 00:00:00,Weevils,Insecticide Z,7ml per litre
210,414,2023/07/21 00:00:00,Cutworms,Pesticide A,7ml per litre
211,415,2024/02/18 00:00:00,Weevils,Pesticide A,12ml per litre
212,421,2024/12/15 00:00:00,Armyworm,Neem Oil,16ml per litre
213,424,2024/04/18 00:00:00,Weevils,Neem Oil,10ml per litre
214,426,2024/11/27 00:00:00,Cutworms,Pesticide A,13ml per litre
215,427,2024/10/03 00:00:00,Cutworms,Insecticide Z,10ml per litre
216,428,2024/08/29 00:00:00,Aphids,Pesticide A,15ml per litre
217,430,2025/02/05 00:00:00,Weevils,Insecticide Z,13ml per litre
218,431,2024/07/21 00:00:00,Armyworm,Neem Oil,11ml per litre
219,432,2024/10/15 00:00:00,Armyworm,Insecticide Z,8ml per litre
220,433,2023/09/14 00:00:00,Armyworm,Pesticide A,6ml per litre
221,434,2024/08/20 00:00:00,Weevils,Pesticide A,8ml per litre
222,435,2024/10/21 00:00:00,Weevils,Neem Oil,10ml per litre
223,436,2023/12/01 00:00:00,Armyworm,Pesticide B,18ml per litre
224,438,2024/01/14 00:00:00,Cutworms,Pesticide A,11ml per litre
225,440,2024/09/19 00:00:00,Aphids,Pesticide A,9ml per litre
226,445,2023/03/19 00:00:00,Cutworms,Pesticide B,11ml per litre
227,446,2023/02/27 00:00:00,Cutworms,Pesticide A,7ml per litre
228,447,2024/08/24 00:00:00,Aphids,Neem Oil,12ml per litre
229,449,2024/03/15 00:00:00,Aphids,Insecticide Z,14ml per litre
230,450,2023/07/08 00:00:00,Cutworms,Neem Oil,17ml per litre
231,451,2023/01/21 00:00:00,Aphids,Pesticide A,14ml per litre
232,452,2023/09/09 00:00:00,Armyworm,Insecticide Z,9ml per litre
233,453,2024/04/17 00:00:00,Armyworm,Pesticide A,5ml per litre
234,455,2024/02/10 00:00:00,Cutworms,Neem Oil,11ml per litre
235,457,2023/08/02 00:00:00,Armyworm,Pesticide A,6ml per litre
236,463,2024/11/06 00:00:00,Armyworm,Neem Oil,10ml per litre
237,464,2023/11/09 00:00:00,Aphids,Pesticide A,15ml per litre
238,465,2024/06/09 00:00:00,Weevils,Neem Oil,12ml per litre
239,466,2023/11/22 00:00:00,Cutworms,Insecticide Z,19ml per litre
240,467,2023/08/22 00:00:00,Armyworm,Pesticide A,11ml per litre
241,468,2023/10/06 00:00:00,Armyworm,Neem Oil,5ml per litre
242,469,2024/01/09 00:00:00,Aphids,Neem Oil,12ml per litre
243,470,2023/11/03 00:00:00,Armyworm,Insecticide Z,18ml per litre
244,472,2023/02/22 00:00:00,Cutworms,Neem Oil,11ml per litre
245,473,2024/02/23 00:00:00,Cutworms,Pesticide A,14ml per litre
246,474,2024/07/10 00:00:00,Aphids,Pesticide A,11ml per litre
247,478,2024/05/16 00:00:00,Aphids,Pesticide B,7ml per litre
248,479,2023/09/09 00:00:00,Aphids,Pesticide A,8ml per litre
249,480,2023/11/01 00:00:00,Armyworm,Insecticide Z,5ml per litre
250,481,2024/09/18 00:00:00,Weevils,Neem Oil,14ml per litre
251,482,2024/10/01 00:00:00,Aphids,Neem Oil,12ml per litre
252,485,2024/07/17 00:00:00,Cutworms,Pesticide A,12ml per litre
253,486,2024/11/14 00:00:00,Aphids,Insecticide Z,9ml per litre
254,489,2023/12/01 00:00:00,Armyworm,Neem Oil,12ml per litre
255,495,2024/10/17 00:00:00,Cutworms,Neem Oil,13ml per litre
256,497,2024/07/30 00:00:00,Armyworm,Insecticide Z,15ml per litre
257,498,2023/04/23 00:00:00,Aphids,Pesticide B,7ml per litre
258,502,2023/09/19 00:00:00,Aphids,Pesticide A,13ml per litre
259,503,2023/01/14 00:00:00,Cutworms,Pesticide A,14ml per litre
260,504,2023/04/16 00:00:00,Aphids,Insecticide Z,12ml per litre
261,506,2023/06/17 00:00:00,Weevils,Pesticide A,7ml per litre
262,508,2023/06/09 00:00:00,Armyworm,Neem Oil,9ml per litre
263,513,2023/10/19 00:00:00,Aphids,Pesticide B,5ml per litre
264,515,2024/09/08 00:00:00,Weevils,Neem Oil,12ml per litre
265,516,2024/02/10 00:00:00,Cutworms,Neem Oil,12ml per litre
266,517,2024/09/26 00:00:00,Weevils,Neem Oil,16ml per litre
267,520,2023/07/26 00:00:00,Aphids,Pesticide A,14ml per litre
268,523,2023/04/15 00:00:00,Weevils,Pesticide B,18ml per litre
269,524,2025/02/04 00:00:00,Cutworms,Pesticide B,17ml per litre
270,527,2023/11/10 00:00:00,Cutworms,Neem Oil,15ml per litre
271,529,2024/10/03 00:00:00,Cutworms,Pesticide B,10ml per litre
272,530,2024/03/29 00:00:00,Cutworms,Pesticide B,10ml per litre
273,532,2023/01/27 00:00:00,Aphids,Pesticide A,13ml per litre
274,533,2024/08/31 00:00:00,Cutworms,Pesticide A,15ml per litre
275,534,2024/03/12 00:00:00,Aphids,Pesticide B,5ml per litre
276,538,2023/04/02 00:00:00,Weevils,Pesticide B,17ml per litre
277,539,2024/05/14 00:00:00,Weevils,Pesticide B,5ml per litre
278,541,2023/12/09 00:00:00,Aphids,Neem Oil,12ml per litre
279,542,2024/07/19 00:00:00,Aphids,Pesticide B,11ml per litre
280,543,2023/12/23 00:00:00,Weevils,Neem Oil,15ml per litre
281,544,2023/10/24 00:00:00,Armyworm,Insecticide Z,10ml per litre
282,554,2023/10/15 00:00:00,Armyworm,Pesticide A,10ml per litre
283,557,2023/05/02 00:00:00,Cutworms,Insecticide Z,10ml per litre
284,560,2023/11/25 00:00:00,Cutworms,Insecticide Z,16ml per litre
285,562,2023/10/30 00:00:00,Armyworm,Pesticide B,14ml per litre
286,564,2023/12/12 00:00:00,Weevils,Neem Oil,9ml per litre
287,567,2023/05/20 00:00:00,Cutworms,Pesticide B,11ml per litre
288,568,2024/03/01 00:00:00,Armyworm,Pesticide B,13ml per litre
289,569,2023/12/25 00:00:00,Weevils,Pesticide A,19ml per litre
290,570,2024/03/19 00:00:00,Armyworm,Pesticide B,15ml per litre
291,572,2024/09/14 00:00:00,Cutworms,Pesticide A,11ml per litre
292,574,2023/05/15 00:00:00,Weevils,Pesticide B,9ml per litre
293,575,2023/12/29 00:00:00,Armyworm,Insecticide Z,6ml per litre
294,576,2024/03/30 00:00:00,Aphids,Pesticide B,18ml per litre
295,577,2023/12/07 00:00:00,Armyworm,Pesticide B,14ml per litre
296,578,2023/03/06 00:00:00,Armyworm,Neem Oil,5ml per litre
297,579,2024/06/10 00:00:00,Aphids,Pesticide B,18ml per litre
298,582,2023/08/08 00:00:00,Cutworms,Insecticide Z,10ml per litre
299,584,2024/10/01 00:00:00,Weevils,Neem Oil,7ml per litre
300,594,2023/07/24 00:00:00,Armyworm,Pesticide A,5ml per litre
301,598,2024/02/14 00:00:00,Aphids,Insecticide Z,19ml per litre
302,599,2023/08/30 00:00:00,Weevils,Neem Oil,5ml per litre
303,601,2024/01/30 00:00:00,Aphids,Insecticide Z,7ml per litre
304,603,2024/11/20 00:00:00,Weevils,Insecticide Z,5ml per litre
305,604,2023/10/07 00:00:00,Armyworm,Pesticide A,14ml per litre
306,606,2023/10/09 00:00:00,Weevils,Insecticide Z,17ml per litre
307,608,2024/09/20 00:00:00,Cutworms,Pesticide A,11ml per litre
308,609,2023/12/16 00:00:00,Aphids,Neem Oil,9ml per litre
309,610,2023/09/11 00:00:00,Armyworm,Pesticide B,5ml per litre
310,612,2024/01/26 00:00:00,Aphids,Pesticide B,13ml per litre
311,613,2024/06/13 00:00:00,Weevils,Pesticide B,19ml per litre
312,617,2024/05/22 00:00:00,Aphids,Insecticide Z,13ml per litre
313,618,2023/08/04 00:00:00,Cutworms,Pesticide B,12ml per litre
314,619,2023/03/12 00:00:00,Cutworms,Pesticide B,11ml per litre
315,621,2023/07/09 00:00:00,Aphids,Pesticide A,14ml per litre
316,623,2024/03/18 00:00:00,Armyworm,Neem Oil,5ml per litre
317,625,2024/01/27 00:00:00,Cutworms,Neem Oil,16ml per litre
318,627,2023/09/17 00:00:00,Cutworms,Neem Oil,15ml per litre
319,628,2024/02/20 00:00:00,Cutworms,Pesticide B,14ml per litre
320,629,2024/05/24 00:00:00,Aphids,Pesticide A,18ml per litre
321,630,2024/07/29 00:00:00,Aphids,Insecticide Z,5ml per litre
322,632,2023/08/22 00:00:00,Armyworm,Neem Oil,18ml per litre
323,633,2024/04/11 00:00:00,Weevils,Neem Oil,19ml per litre
324,634,2023/06/20 00:00:00,Armyworm,Insecticide Z,9ml per litre
325,635,2023/04/27 00:00:00,Aphids,Pesticide B,19ml per litre
326,636,2023/04/02 00:00:00,Aphids,Pesticide A,17ml per litre
327,637,2025/02/20 00:00:00,Cutworms,Pesticide A,7ml per litre
328,639,2024/01/26 00:00:00,Weevils,Insecticide Z,14ml per litre
329,641,2023/04/09 00:00:00,Aphids,Neem Oil,17ml per litre
330,642,2023/03/25 00:00:00,Weevils,Pesticide B,14ml per litre
331,644,2023/12/11 00:00:00,Armyworm,Pesticide A,10ml per litre
332,647,2025/01/17 00:00:00,Armyworm,Insecticide Z,7ml per litre
333,648,2023/09/28 00:00:00,Cutworms,Pesticide B,14ml per litre
334,651,2024/11/08 00:00:00,Cutworms,Neem Oil,9ml per litre
335,659,2024/11/17 00:00:00,Cutworms,Pesticide A,11ml per litre
336,660,2023/10/19 00:00:00,Armyworm,Neem Oil,10ml per litre
337,663,2023/08/06 00:00:00,Cutworms,Pesticide B,16ml per litre
338,666,2024/05/02 00:00:00,Weevils,Pesticide A,11ml per litre
339,667,2023/10/10 00:00:00,Weevils,Pesticide A,5ml per litre
340,668,2023/07/31 00:00:00,Cutworms,Insecticide Z,9ml per litre
341,672,2024/04/08 00:00:00,Armyworm,Neem Oil,15ml per litre
342,673,2023/05/11 00:00:00,Weevils,Pesticide B,18ml per litre
343,675,2025/01/12 00:00:00,Cutworms,Pesticide A,17ml per litre
344,677,2023/12/28 00:00:00,Weevils,Pesticide A,7ml per litre
345,679,2024/03/25 00:00:00,Armyworm,Insecticide Z,6ml per litre
346,683,2024/04/08 00:00:00,Armyworm,Insecticide Z,18ml per litre
347,684,2023/02/04 00:00:00,Weevils,Pesticide A,19ml per litre
348,685,2024/02/04 00:00:00,Armyworm,Insecticide Z,12ml per litre
349,689,2023/02/23 00:00:00,Weevils,Neem Oil,9ml per litre
350,691,2024/09/16 00:00:00,Armyworm,Pesticide B,10ml per litre
351,692,2024/09/14 00:00:00,Cutworms,Pesticide A,12ml per litre
352,695,2024/01/18 00:00:00,Aphids,Insecticide Z,19ml per litre
353,696,2024/08/14 00:00:00,Weevils,Neem Oil,16ml per litre
354,697,2023/09/06 00:00:00,Cutworms,Pesticide A,16ml per litre
355,698,2023/07/23 00:00:00,Weevils,Neem Oil,9ml per litre
356,702,2023/11/21 00:00:00,Weevils,Neem Oil,9ml per litre
357,703,2023/10/05 00:00:00,Aphids,Insecticide Z,16ml per litre
358,705,2024/02/22 00:00:00,Aphids,Pesticide A,12ml per litre
359,710,2024/12/26 00:00:00,Armyworm,Insecticide Z,8ml per litre
360,715,2023/06/10 00:00:00,Weevils,Pesticide B,9ml per litre
361,719,2023/07/29 00:00:00,Aphids,Neem Oil,13ml per litre
362,723,2023/09/04 00:00:00,Weevils,Neem Oil,8ml per litre
363,726,2024/12/27 00:00:00,Armyworm,Neem Oil,9ml per litre
364,730,2023/05/31 00:00:00,Cutworms,Insecticide Z,5ml per litre
365,731,2024/03/27 00:00:00,Armyworm,Insecticide Z,16ml per litre
366,732,2024/10/22 00:00:00,Aphids,Pesticide B,18ml per litre
367,735,2024/05/08 00:00:00,Cutworms,Insecticide Z,9ml per litre
368,736,2024/07/07 00:00:00,Armyworm,Neem Oil,5ml per litre
369,737,2024/04/15 00:00:00,Cutworms,Insecticide Z,18ml per litre
370,738,2023/09/21 00:00:00,Armyworm,Neem Oil,17ml per litre
371,741,2023/11/30 00:00:00,Weevils,Pesticide A,16ml per litre
372,742,2024/01/11 00:00:00,Aphids,Neem Oil,17ml per litre
373,744,2023/09/16 00:00:00,Armyworm,Neem Oil,11ml per litre
374,747,2023/02/28 00:00:00,Armyworm,Pesticide B,16ml per litre
375,750,2024/03/20 00:00:00,Weevils,Pesticide B,19ml per litre
376,753,2023/06/29 00:00:00,Aphids,Pesticide B,18ml per litre
377,755,2024/09/06 00:00:00,Armyworm,Neem Oil,11ml per litre
378,756,2023/10/14 00:00:00,Weevils,Neem Oil,12ml per litre
